route_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_id
1,1,,Outbound,,,1211,6,0,0,0_TMS1404
35,1,,Inbound,,,1011,14,0,0,1000_TMS2176
35,1,,Inbound,,,1012,14,0,0,1001_TMS2177
35,1,,Inbound,,,1011,14,0,0,1002_TMS2178
35,1,,Inbound,,,1012,14,0,0,1003_TMS2179
35,1,,Inbound,,,1011,14,0,0,1004_TMS2180
35,1,,Inbound,,,1012,14,0,0,1005_TMS2181
35,1,,Inbound,,,1011,14,0,0,1006_TMS2182
35,1,,Inbound,,,1012,14,0,0,1007_TMS2183
35,1,,Inbound,,,1011,14,0,0,1008_TMS2184
35,1,,Inbound,,,1012,14,0,0,1009_TMS2185
2,1,,Inbound,,,4101,10,0,0,100_TMS1488
35,1,,Inbound,,,1011,14,0,0,1010_TMS2186
35,1,,Inbound,,,1012,14,0,0,1011_TMS2187
35,1,,Inbound,,,1011,14,0,0,1012_TMS2188
35,1,,Inbound,,,1012,14,0,0,1013_TMS2189
35,1,,Inbound,,,1011,14,0,0,1014_TMS2190
35,1,,Inbound,,,1012,14,0,0,1015_TMS2191
35,1,,Inbound,,,1011,14,0,0,1016_TMS2192
35,1,,Inbound,,,1012,14,0,0,1017_TMS2193
35,1,,Inbound,,,1011,14,0,0,1018_TMS2194
35,1,,Inbound,,,1012,14,0,0,1019_TMS2195
2,1,,Inbound,,,6602,10,0,0,101_TMS1489
35,1,,Inbound,,,1011,14,0,0,1020_TMS2196
35,1,,Inbound,,,1012,14,0,0,1021_TMS2197
35,1,,Inbound,,,1011,14,0,0,1022_TMS2198
35,1,,Inbound,,,1012,14,0,0,1023_TMS2199
35,1,,Inbound,,,1011,14,0,0,1024_TMS2200
35,1,,Inbound,,,1012,14,0,0,1025_TMS2201
35,1,,Inbound,,,1011,14,0,0,1026_TMS2202
35,1,,Inbound,,,1012,14,0,0,1027_TMS2203
35,1,,Inbound,,,1011,14,0,0,1028_TMS2204
35,1,,Inbound,,,1012,14,0,0,1029_TMS2205
2,1,,Inbound,,,4102,10,0,0,102_TMS1490
35,1,,Inbound,,,1011,14,0,0,1030_TMS2206
35,1,,Inbound,,,1012,14,0,0,1031_TMS2207
35,1,,Inbound,,,1011,14,0,0,1032_TMS2208
35,1,,Inbound,,,1012,14,0,0,1033_TMS2209
35,1,,Inbound,,,1011,14,0,0,1034_TMS2210
35,1,,Inbound,,,1012,14,0,0,1035_TMS2211
35,1,,Inbound,,,1011,14,0,0,1036_TMS2212
35,1,,Inbound,,,1012,14,0,0,1037_TMS2213
35,1,,Inbound,,,1011,14,0,0,1038_TMS2214
35,1,,Inbound,,,1012,14,0,0,1039_TMS2215
2,1,,Inbound,,,6603,10,0,0,103_TMS1491
