stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
1,,Capitol and 4th,,47.044418,-122.901711,,,0,,0,
10,,Capitol and Carlyon,,47.020679,-122.897346,,,0,,0,
100,,Crosby and Somerset Hill,,47.0205,-122.926353,,,0,,0,
1003,,24th and Pacific,,47.240063,-122.434601,,,0,,0,
101,,Barnes and Ridgeview,,47.017628,-122.920486,,,0,,0,
102,,Barnes and Overlook Park,,47.016403,-122.918152,,,0,,0,
103,,Barnes and Vista,,47.015278,-122.915154,,,0,,0,
104,,S. 7th and I,,47.008472,-122.913048,,,0,,0,
105,,S. 2nd and I,,47.00798,-122.908585,,,0,,0,
106,,S. 2nd and C,,47.013779,-122.906677,,,0,,0,
107,,S. 2nd and Division,,47.015377,-122.906654,,,0,,0,
108,,Custer and Schmidt,,47.016659,-122.902924,,,0,,0,
109,,North and Masonic Cemetery,,47.016563,-122.896492,,,0,,0,
11,,"Capitol and ""E""",,47.011021,-122.905289,,,0,,0,
110,,North and Lorne,,47.016575,-122.89341,,,0,,0,
111,,North and Hoadly,,47.016541,-122.889053,,,0,,0,
112,,North and Pifer,,47.016529,-122.884804,,,0,,0,
113,,North and Central,,47.016518,-122.882339,,,0,,0,
114,,Henderson and North,,47.01622,-122.879333,,,0,,0,
115,,Henderson and Middle,,47.012791,-122.879356,,,0,,0,
116,,Henderson and Briggs Nursery,,47.00581,-122.881027,,,0,,0,
117,,Henderson and Yelm Hwy,,47.004227,-122.881073,,,0,,0,
118,,Yelm Hwy and Village,,47.003517,-122.874893,,,0,,0,
119,,Yelm Hwy and Juli,,47.004597,-122.869125,,,0,,0,
12,,Capitol and Linwood,,47.007477,-122.90731,,,0,,0,
120,,Yelm Hwy and Boulevard,,47.003643,-122.86496,,,0,,0,
121,,Yelm Hwy and Donovan,,47.001316,-122.859245,,,0,,0,
122,,Yelm Hwy and Rich,,47.000786,-122.855568,,,0,,0,
123,,Yelm Hwy and Chambers Creek,,47.000309,-122.852005,,,0,,0,
