agency_id	route_short_name	route_desc	route_id
KCM	242	North Seattle to Overlake	100134
KCM	243	Jackson Park to Wilburton P&R	100135
KCM	245	Factoria - Kirkland	100136
KCM	246	Bellevue/Somerset/Factoria - old	100137
KCM	249	Bellevue/Overlake/Redmond	100139
KCM	25	Laurelhurst-Lakeview	100140
KCM	250	Seattle/Overlake/Redmond	100141
KCM	251	Redmond/Woodinville	100142
KCM	252	Seattle/Kingsgate Via SR-520/I-405	100143
KCM	255	Seattle/Kirkland/Kingsgate (Tunnel)	100146
KCM	257	Seattle/Juanita/Kingsgate	100148
KCM	26	Latona	100151
KCM	260	Seattle/Juanita/Finn Hill	100152
KCM	265	Redmond/Seattle Express	100156
KCM	268	Seattle/Bear Creek	100159
KCM	269	Issaquah Plateau	100160
KCM	27	Yesler-Leschi Park	100161
KCM	271	Issaquah to U Dist	100162
KCM	277	Totem Lake/U Dist.	100168
KCM	28	Broadview	100169
KCM	280	Seattle/Bellevue/Renton OWL	100170
KCM	3	Route 3	100173
KCM	30	Sandpoint/U-Dist/Seattle Center	100174
KCM	301	Aurora Village-Downtown Seattle	100175
KCM	303	Shoreline - NTC - First Hill	100177
KCM	304	Richmond Beach via Dayton	100178
KCM	306	Kenmore tunnel route	100180
KCM	308	Aurora Village Via Lake Forest Park	100182
KCM	309	Kenmore - S Lk Union - First Hill	100183
KCM	31	Magnolia to University	100184
KCM	311	Seattle/Woodinville	100186
KCM	312	Woodinville/Bothell Express route	100187
KCM	316	Meridian Park express	100190
KCM	33	Ft Lawton	100194
KCM	330	Lake City - Shoreline CC	100195
KCM	331	S03: Kenmore - SCC	100196
KCM	34	Downtown Sea/Rainier Beach express	100198
KCM	342	Renton/Shoreline via Bell.&Bothell. for 2002	100201
KCM	345	NTC - SCC	100202
KCM	346	Aurora Village - NTC	100203
KCM	347	NTC - Mountlake Terrace	100204
KCM	348	NTC - Richmond Beach	100205
KCM	35	Harbor Island	100206
KCM	355	Shoreline Comm Coll/Greenwood	100207
KCM	358	Aurora Express	100208
KCM	36	Jefferson Park/Rainier Beach	100210
KCM	37	Alki	100212
KCM	372	Woodinville/University	100214
KCM	373	Aurora Village - University District	100215
KCM	38	909 Beacon Hill/Mt Baker TC Shuttle	100217
KCM	39	Seward Pk- Rainier Beach	100218
KCM	4	Route 4	100219
KCM	41	Lake City/Northgate/CBD	100221
KCM	42	Martin Luther King WY	100222
KCM	43	cbd/u-district	100223
KCM	44	ballard/montlake	100224
KCM	45	U Dist Shuttle	100225
KCM	46	University - Ballard	100226
KCM	48	Route 48	100228
KCM	5	Greenwood/SCC/Northgate	100229
KCM	51	West Seattle/Admiral Shuttle	100231
KCM	53	W Seattle/Alki Shuttle	100233
KCM	54	Fauntleroy/White Center	100234
KCM	55	W. Sea. Admiral Dist	100238
KCM	56	Admiral Way/Alki	100242
KCM	57	Admiral Way/Genesee Hill	100246
KCM	60	Beacon Hill/Broadway dist Shuttle	100249
KCM	600	Group Health Coop - CBD	100250
KCM	64	Lake City - CBD - First Hill	100253
KCM	65	NTC to UW	100254
KCM	66	S Mass to NTC	100256
KCM	661	tripper storage shuttle	100258
KCM	67	Northgate to UW Campus thru Roosevelt	100259
KCM	68	Northgate to UW Campus via 25 NE	100261
KCM	688	Center Park	100262
KCM	7	Route 7	100263
KCM	70	University District	100264
KCM	71	View Ridge	100265
KCM	72	Lake City	100266
KCM	73	Jackson Park	100267
KCM	74	Sandpoint/U-Dist/CPS	100268
KCM	75	UW - NTC - Ballard	100269
KCM	76	Wedgwood Express	100270
KCM	77	Jackson Park Express	100271
KCM	773	West Seattle Water Taxi Shuttle	100272
KCM	79	Lake City Express	100274
KCM	8	Cap.Hill/Denny Wy	100275
KCM	81	Ballard All-Nighter	100276
KCM	82	Queen Anne/Greenwood Owl trips	100277
KCM	83	Univ Dist/Ravenna Night Owl	100278
KCM	84	E Cherry/E Madison All Nighter	100279
KCM	85	West Seattle Admiral/White Center	100280
KCM	885	Bellevue HS/International School	100282
KCM	886	Bellevue High School	100283
KCM	888	Interlake High School	100284
KCM	889	Sammamish HS/International School	100285
KCM	890	Sammamish HS/Eastgate/Bellevue	100286
KCM	891	Mercer Island HS South Island	100287
KCM	892	Mercer Island HS North Island	100288
KCM	9	broadway  /  rainier	100289
KCM	901	Federal Way/Dash Point DART	100290
KCM	903	Federal Way - S Twin Lakes	100292
KCM	908	Renton Highlands DART	100293
KCM	909	Highlands/Kennydale DART	100294
KCM	912	Enumclaw/Lake Sawyers/Covington	100295
KCM	913	Kent - Riverview	100296
KCM	914	Kent Shopper Shuttle (DART)	100297
KCM	916	Kent Shuttle (DART)	100299
KCM	917	Auburn/Algona/Pacific Shuttle	100300
KCM	925	Newport Hills/Newcastle DART	100307
KCM	927	Issaquah DART	100309
KCM	935	Kenmore/Finn Hill/Kingsgate P&R	100313
KCM	952	Auburn P&R to Boeing Everett	100324
KCM	982	Lakeside\UPrep Bear Creek PR	100341
KCM	983	Issaquah Lakeside	100342
KCM	984	Lakeside School to Central Area	100343
KCM	986	Lakeside School	100344
KCM	987	Lakeside School-Rainier Beach	100345
KCM	988	Lakeside School Custom Bus	100346
KCM	989	Eastgate Lakeside	100347
KCM	99	Waterfront	100348
KCM	994	Downtown/Magnolia/Ballard/Lakeside	100350
KCM	995	Laurelhurst-Lakeside-Evergreen Schools	100351
KCM	821	Newport Hills/NewportHS/IntlHS 821	100438
KCM	49	CBD-Cap Hill-U Dist	100447
KCM	248	Redmond-Kirkland	100448
KCM	218	Issaquah Highlands CBD	100459
KCM	180	Auburn  Kent  SeaTac  Burien	100469
KCM	161	Lk Meridian - Seattle	100471
KCM	919	North and Southeast Auburn	100472
KCM	981	Lakeside Activity Bus East	100473
KCM	157	Lake Meridian PR - Seattle	100475
KCM	244	Kenmore Kingsgate Overlake	100476
KCM	775	Water Taxi shuttle Alki loop	100481
KCM	102	Fairwood - Seattle	100487
KCM	156	SeaTac - Southcenter	100489
KCM	224	Fall City Redmond Shuttle	100493
KCM	193	Star Lk. to First Hill	100495
KCM	930	Kingsgate/Redmond/Bear Crk Shuttle	100496
KCM	822	Somerset/NewportHS/IntlHS 822	100507
KCM	823	Cougar Mt/NewportHS/IntlHS 823	100508
KCM	824	Newcastle/Factoria/International School 824	100509
KCM	A Line	A-Line Rapid Ride	100512
KCM	910	Supermall - North Auburn	102512
KCM	980	Lakeside	102549
KCM	226	BTC Crossroads Eastgate Fall 11	102552
KCM	241	Eastgate Factoria BTC Fall 11	102554
KCM	893	911 For Lake Washington High School	102555
KCM	B Line	B-Line Rapid Ride	102558
KMD	973	West Seattle Water Taxi - Boat Schedule	100336
KMD	975	Vashon Passenger-Only Ferry	100337
ST	522	ST 522 Woodinville-Seattle CBD	100232
ST	540	Kirkland U District	100235
ST	545	Redmond to CBD Express for Sound Transit	100236
ST	550	Bellevue	100239
ST	554	ST Issaquah - CBD	100240
ST	555	Issaquah/NTC	100241
ST	560	Bellevue - West Seattle	100243
ST	510	ST Route 510	100430
ST	511	Route 511	100431
ST	513	Route 513	100432
ST	532	Route 532	100434
ST	535	Route 535	100435
ST	556	Issaquah/UW/NTC	100451
ST	577	Federal Way - Seattle Express	100460
ST	574	PT Route 574	100465
ST	LINK	LINK to Sea-Tac	100479
ST	566	Auburn - Overlake	100491
ST	542	Redmond U District	100511
ST	578	Sounder PM Sweeper	100517
ST	586	PT ST Route 586	100518
ST	590	Route 590 Tacoma Seattle Express	100519
ST	592	PT Route 592	100520
ST	593	PT Route 593	100521
ST	594	PT Route 594	100522
ST	595	PT Route 595	100523
