agency_id	route_short_name	route_desc	route_id
EOS	98	South Lake Union Streetcar	100340
KCM	1	kinnear	100001
KCM	10	capitol hill	100002
KCM	101	Renton Transit Center to CBD	100003
KCM	105	Renton Hub - Renton Highlands	100004
KCM	106	Renton-Downtown Seattle	100005
KCM	107	Rainier Beach/Renton Shuttle	100006
KCM	11	Madison	100009
KCM	110	Renton Shuttle	100010
KCM	111	East Renton to C.B.D. Via I-405 & I-90	100011
KCM	113	Shorewood  White Center  CBD via SR509	100012
KCM	114	Renton Highlands to C.D.B. Via I-405 & I-90	100013
KCM	116	Fauntleroy Ferry Dock ONLY	100014
KCM	118	Vashon Is--Tahlequah/Burton	100016
KCM	119	Dockton	100017
KCM	12	interlaken park	100018
KCM	120	Burien to Seattle via Ambaum & Delridge	100019
KCM	121	Normandy Park express	100020
KCM	122	Des moines express	100021
KCM	123	Gregory Heights express	100022
KCM	124	Tukwila - E Marginal - CBD	100023
KCM	125	Shorewood to CBD via SSCC	100024
KCM	128	West Seattle-White Center to SouthCenter	100026
KCM	129	North Sea Tac/ Riverton Heights	100027
KCM	13	seattle pacific university	100028
KCM	131	Normandy Park	100030
KCM	132	Des Moines	100031
KCM	133	Burien/White Center/UW	100032
KCM	134	Downtown to Burien viaPark Lake	100033
KCM	139	Burien/Gregory Heights Shuttle	100038
KCM	14	Route 14	100039
KCM	140	Renton to Burien	100040
KCM	143	Maple Valley & Renton to C.B.D. Via Sr 900 & I-5	100041
KCM	148	Fairwood--S.Renton Hub Shuttle.	100042
KCM	149	Black Diamond-Maple Valley-Renton Hub	100043
KCM	15	Blue Ridge/Downtown	100044
KCM	150	Kent-Southcenter to C.B.D. & Tunnel	100045
KCM	152	Enumclaw-Auburn-Star Lk. I-5 to C.B.D.	100047
KCM	153	Kent/Renton Shuttle	100048
KCM	154	Tukwila Station  - Federal Center S.	100049
KCM	155	FAIRWOOD TO SOUTHCENTER	100050
KCM	158	E. Kent--Lk. Meridian Via I-5 & Seneca St. -C.B.D.	100051
KCM	159	Kent-Kangley-Timberlane--I-5-Seneca St.	100052
KCM	16	Meridian	100053
KCM	162	S.Hill Kent- I-5 - Seneca St.	100055
KCM	164	GGreen River Coll-Kent P&R Via Lk. Meridian P&R	100057
KCM	166	Highline C C to Kent P&R	100058
KCM	167	Auburn-Kent-Renton-Univ Dist	100059
KCM	168	Timberlane - Kent Rail Station	100060
KCM	169	Renton to Kent Via Benson	100061
KCM	17	Sunset Hill	100062
KCM	173	Federal Way to E Marginal Wy & Boeing	100064
KCM	175	Dash Pt. Federal wy Via I-5 to Tunnel	100066
KCM	177	Federal Way P&R Via I-5 --Tunnel	100068
KCM	179	Twin Lakes P&R - Downtown	100070
KCM	18	North Beach/Downtown	100071
KCM	181	Green River CC/Auburn/Federal Way	100072
KCM	182	Federal Way-NE Tacoma	100073
KCM	183	Kent/Federal Way Shuttle	100074
KCM	186	Auburn/Enumclaw Shuttle	100077
KCM	187	Federal Way/Twin Lakes	100078
KCM	19	Magnolia	100081
KCM	190	Star Lk. P&R Via SODO Wy	100082
KCM	192	S. Military Rd. - K.D.M. - I-5 to Seneca St.	100084
KCM	196	So Federal Way - Seattle	100087
KCM	197	Twin Lakes P&R/Federal Way/Univ Dist	100088
KCM	2	Route 2	100089
KCM	200	Issaquah Shuttle	100091
KCM	201	West Mercer Way Shuttle	100092
KCM	202	Mercer Island	100093
KCM	203	Shorewood Van Shuttle	100094
KCM	204	Island Crest Wy/S Mercer Shuttle	100095
KCM	205	Mercer Island/U district	100096
KCM	209	Issaquah/North Bend Shuttle	100100
KCM	21	35  Av SW/Arbor Heights	100101
KCM	210	Issaquah	100102
KCM	211	Issa Hlnds PR\Eastgate\First Hill 911	100103
KCM	212	Eastgate P & R Express (Tunnel)	100104
KCM	213	Covenant Shores Van Shuttle	100105
KCM	214	Seattle - Issaquah 908	100106
KCM	215	N Bend  Seattle	100107
KCM	216	Sammamish/CBD	100108
KCM	217	Issaquah/CBD	100109
KCM	219	Factoria/Newport Hills/Coal Creek Pkwy	100110
KCM	22	West Seattle/White Center	100111
KCM	221	Eastgate\Redmond	100113
KCM	23	White Center to Downtown via Highland Pk	100121
KCM	232	Bellevue/Redmond	100124
KCM	234	Bellevue/Kirkland/Kenmore	100126
KCM	235	BTC To Kingsgate Fall 2011	100127
KCM	236	Woodinville/KTC shuttle	100128
KCM	237	Bellevue/Woodinville	100129
KCM	238	UWB Bothell CC/KTC shuttle	100130
KCM	24	Magnolia via W Government Wy	100132
KCM	240	Bellevue\Renton	100133
