trip_headsign	direction_id	trip_id
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367651
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367652
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367653
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367654
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367655
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367656
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367657
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367658
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367659
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367660
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367661
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367662
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367663
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367664
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367665
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367666
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367667
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367668
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367669
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367670
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367671
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367672
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367673
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367674
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367675
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367676
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367677
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367678
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367679
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367680
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367681
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367682
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367683
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367684
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367685
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367686
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367687
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367688
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367689
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367690
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367691
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367692
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367693
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367694
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367695
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367696
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367697
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367698
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367699
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367700
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367701
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367702
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367703
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367704
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367705
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367706
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367707
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367708
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367709
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367710
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367711
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367712
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367713
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367714
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367715
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367716
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367717
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367718
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367719
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367720
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367721
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367722
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367723
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367724
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367725
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367726
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367727
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367728
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367729
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367730
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367731
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367732
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367733
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367734
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367735
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367736
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367737
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367738
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367739
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367740
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367741
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367742
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367743
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367744
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367745
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367746
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367747
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367748
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367749
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367750
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367751
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367752
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367753
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367754
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367755
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367756
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367757
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367758
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367759
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367760
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367761
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367762
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367763
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367764
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367765
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367766
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367767
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367768
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367769
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367770
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367771
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367772
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367773
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367774
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367775
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367776
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367777
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367778
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367779
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367780
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367781
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367782
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367783
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367784
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367785
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367786
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367787
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367788
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367789
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367790
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367791
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367792
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367793
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367794
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367799
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367800
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367801
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367802
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367803
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367804
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367805
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367806
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367807
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367808
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367809
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367810
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367811
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367812
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367813
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367814
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367815
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367816
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367817
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367818
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367819
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367820
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367821
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367822
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367823
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367824
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367825
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367826
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367827
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367828
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367829
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367830
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367831
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367832
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367833
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367834
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367835
DOWNTOWN SEATTLE VIA PACIFIC PLACE STATION	1	11367836
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367837
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367838
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367839
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367840
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367841
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367842
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367843
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367844
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367845
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367846
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367847
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367848
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367849
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367850
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367851
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367852
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367853
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367854
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367855
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367856
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367857
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367858
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367859
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367860
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367861
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367862
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367863
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367864
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367865
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367866
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367867
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367868
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367869
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367870
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367871
LAKE UNION VIA FRED HUTCHISON CANCER CTR	0	11367872
