route_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_id
11-140,11OCT-MVS-WKD-Weekday-03,,Dtwn Tacoma,,,761857,110138,0,0,4550246-11OCT-MVS-WKD-Weekday-03
11-140,11OCT-MVS-WKD-Weekday-03,,Dtwn Tacoma,,,761639,110138,0,0,4550248-11OCT-MVS-WKD-Weekday-03
11-140,11OCT-MVS-WKD-Weekday-03,,Dtwn Tacoma,,,761616,110138,0,0,4550249-11OCT-MVS-WKD-Weekday-03
11-140,11OCT-MVS-WKD-Weekday-03,,Dtwn Tacoma,,,761646,110138,0,0,4550250-11OCT-MVS-WKD-Weekday-03
11-140,11OCT-MVS-WKD-Weekday-03,,Dtwn Tacoma,,,761857,110138,0,0,4550251-11OCT-MVS-WKD-Weekday-03
11-140,11OCT-MVS-WKD-Weekday-03,,Dtwn Tacoma,,,761616,110138,0,0,4550252-11OCT-MVS-WKD-Weekday-03
11-140,11OCT-MVS-WKD-Weekday-03,,Dtwn Tacoma,,,761646,110138,0,0,4550253-11OCT-MVS-WKD-Weekday-03
11-140,11OCT-MVS-WKD-Weekday-03,,Dtwn Tacoma,,,761857,110138,0,0,4550255-11OCT-MVS-WKD-Weekday-03
11-140,11OCT-MVS-WKD-Weekday-03,,Dtwn Tacoma,,,761616,110138,0,0,4550257-11OCT-MVS-WKD-Weekday-03
11-140,11OCT-MVS-WKD-Weekday-03,,Dtwn Tacoma,,,761645,110138,0,0,4550259-11OCT-MVS-WKD-Weekday-03
11-140,11OCT-MVS-WKD-Weekday-03,,Dtwn Tacoma,,,761603,110138,0,0,4550261-11OCT-MVS-WKD-Weekday-03
11-140,11OCT-MVS-WKD-Weekday-03,,Dtwn Tacoma,,,761857,110138,0,0,4550263-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,Sumner,,,761677,4090082,0,0,4550267-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,Sumner,,,761653,4090082,0,0,4550268-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,Sumner,,,761654,4090082,0,0,4550269-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,Sumner,,,761658,4090082,0,0,4550270-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,Sumner,,,761677,4090082,0,0,4550271-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,Sumner,,,761653,4090082,0,0,4550272-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,Sumner,,,761654,4090082,0,0,4550273-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,Sumner,,,761658,4090082,0,0,4550274-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,Sumner,,,761677,4090082,0,0,4550275-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,Sumner,,,761653,4090082,0,0,4550276-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,Sumner,,,761654,4090082,0,0,4550277-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,Sumner,,,761658,4090082,0,0,4550278-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,Sumner,,,761677,4090082,0,0,4550279-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,Sumner,,,761653,4090082,0,0,4550280-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,72nd St TC,,,761677,4090083,0,0,4550281-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,72nd St TC,,,761677,4090083,0,0,4550282-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,72nd St TC,,,761653,4090083,0,0,4550283-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,72nd St TC,,,761654,4090083,0,0,4550284-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,72nd St TC,,,761658,4090083,0,0,4550285-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,72nd St TC,,,761677,4090083,0,0,4550286-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,72nd St TC,,,761653,4090083,0,0,4550287-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,72nd St TC,,,761654,4090083,0,0,4550288-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,72nd St TC,,,761658,4090083,0,0,4550289-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,72nd St TC,,,761677,4090083,0,0,4550290-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,72nd St TC,,,761653,4090083,0,0,4550291-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,72nd St TC,,,761658,4090083,0,0,4550292-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,72nd St TC,,,761653,4090083,0,0,4550293-11OCT-MVS-WKD-Weekday-03
409-140,11OCT-MVS-WKD-Weekday-03,,72nd St TC,,,761677,4090083,0,0,4550294-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761679,10286,0,0,4550308-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761683,10286,0,0,4550309-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761685,10286,0,0,4550310-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761678,10286,0,0,4550311-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761680,10286,0,0,4550312-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761682,10286,0,0,4550313-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761885,10286,0,0,4550314-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761684,10286,0,0,4550315-11OCT-MVS-WKD-Weekday-03
