trip_id,route_id,direction_id,service_id
T001,CA,1,SCH-WKDY
T002,CA,1,SCH-WKDY
T003,CA,1,SCH-WKDY
T004,CA,1,SCH-WKDY
T005,CA,1,SCH-WKDY
T006,CA,1,SCH-WKDY
T007,CA,1,SCH-WKDY
T008,CA,1,SCH-WKDY
T009,CA,1,SCH-WKDY
T010,CA,1,SCH-WKDY
T011,CA,1,SCH-WKDY
T012,CA,1,SCH-WKDY
T013,CA,1,SCH-WKDY
T014,CA,1,SCH-WKDY
T015,CA,1,SCH-WKDY
T016,CA,1,SCH-WKDY
T017,CA,1,SCH-WKDY
T018,CA,1,SCH-WKDY
T019,CA,1,SCH-WKDY
T020,CA,1,SCH-WKDY
T021,CA,1,SCH-WKDY
T022,CA,1,SCH-WKDY
T023,CA,1,SCH-WKDY
T024,CA,1,SCH-WKDY
T025,CA,1,SCH-WKDY
T026,CA,1,SCH-WKDY
T027,CA,1,SCH-WKDY
T028,CA,1,SCH-WKDY
T029,CA,1,SCH-WKDY
T030,CA,1,SCH-WKDY
T031,CA,1,SCH-WKDY
T032,CA,1,SCH-WKDY
T033,CA,1,SCH-WKDY
T034,CA,1,SCH-WKDY
T035,CA,1,SCH-WKDY
T036,CA,1,SCH-WKDY
T037,CA,1,SCH-WKDY
T038,CA,1,SCH-WKDY
T039,CA,1,SCH-WKDY
T040,CA,1,SCH-WKDY
T041,CA,1,SCH-WKDY
T042,CA,1,SCH-WKDY
T043,CA,1,SCH-WKDY
T044,CA,1,SCH-WKDY
T045,CA,1,SCH-WKDY
T046,CA,1,SCH-WKDY
T047,CA,1,SCH-WKDY
T048,CA,1,SCH-WKDY
T049,CA,1,SCH-WKDY
T050,CA,1,SCH-WKDY
T051,CA,1,SCH-WKDY
T052,CA,1,SCH-WKDY
T053,CA,1,SCH-WKDY
T054,CA,1,SCH-WKDY
T055,CA,1,SCH-WKDY
T056,CA,1,SCH-WKDY
T057,CA,1,SCH-WKDY
T058,CA,1,SCH-WKDY
T059,CA,1,SCH-WKDY
T060,CA,1,SCH-WKDY
T061,CA,1,SCH-WKDY
T062,CA,1,SCH-WKDY
T063,CA,1,SCH-WKDY
T064,CA,1,SCH-WKDY
T065,CA,1,SCH-WKDY
T066,CA,1,SCH-WKDY
T067,CA,1,SCH-WKDY
T068,CA,1,SCH-WKDY
T069,CA,1,SCH-WKDY
T070,CA,1,SCH-WKDY
T071,CA,1,SCH-WKDY
T072,CA,1,SCH-WKDY
T073,CA,1,SCH-WKDY
T074,CA,1,SCH-WKDY
T075,CA,1,SCH-WKDY
T076,CA,1,SCH-WKDY
T077,CA,1,SCH-WKDY
T078,CA,1,SCH-WKDY
T079,CA,1,SCH-WKDY
T080,CA,1,SCH-WKDY
T081,CA,1,SCH-WKDY
T082,CA,1,SCH-WKDY
T083,CA,1,SCH-WKDY
T084,CA,1,SCH-WKDY
T085,CA,1,SCH-WKDY
T086,CA,1,SCH-WKDY
T087,CA,1,SCH-WKDY
T089,CA,0,SCH-WKDY
T090,CA,0,SCH-WKDY
T091,CA,0,SCH-WKDY
T092,CA,0,SCH-WKDY
T093,CA,0,SCH-WKDY
T094,CA,0,SCH-WKDY
