trip_id,route_id,direction_id,service_id
T095,CA,0,SCH-WKDY
T096,CA,0,SCH-WKDY
T097,CA,0,SCH-WKDY
T098,CA,0,SCH-WKDY
T099,CA,0,SCH-WKDY
T100,CA,0,SCH-WKDY
T101,CA,0,SCH-WKDY
T102,CA,0,SCH-WKDY
T103,CA,0,SCH-WKDY
T104,CA,0,SCH-WKDY
T105,CA,0,SCH-WKDY
T106,CA,0,SCH-WKDY
T107,CA,0,SCH-WKDY
T108,CA,0,SCH-WKDY
T109,CA,0,SCH-WKDY
T110,CA,0,SCH-WKDY
T111,CA,0,SCH-WKDY
T112,CA,0,SCH-WKDY
T113,CA,0,SCH-WKDY
T114,CA,0,SCH-WKDY
T115,CA,0,SCH-WKDY
T116,CA,0,SCH-WKDY
T117,CA,0,SCH-WKDY
T118,CA,0,SCH-WKDY
T119,CA,0,SCH-WKDY
T120,CA,0,SCH-WKDY
T121,CA,0,SCH-WKDY
T122,CA,0,SCH-WKDY
T123,CA,0,SCH-WKDY
T124,CA,0,SCH-WKDY
T125,CA,0,SCH-WKDY
T126,CA,0,SCH-WKDY
T127,CA,0,SCH-WKDY
T128,CA,0,SCH-WKDY
T129,CA,0,SCH-WKDY
T130,CA,0,SCH-WKDY
T131,CA,0,SCH-WKDY
T132,CA,0,SCH-WKDY
T133,CA,0,SCH-WKDY
T134,CA,0,SCH-WKDY
T135,CA,0,SCH-WKDY
T136,CA,0,SCH-WKDY
T137,CA,0,SCH-WKDY
T138,CA,0,SCH-WKDY
T139,CA,0,SCH-WKDY
T140,CA,0,SCH-WKDY
T141,CA,0,SCH-WKDY
T142,CA,0,SCH-WKDY
T143,CA,0,SCH-WKDY
T144,CA,0,SCH-WKDY
T145,CA,0,SCH-WKDY
T146,CA,0,SCH-WKDY
T147,CA,0,SCH-WKDY
T148,CA,0,SCH-WKDY
T149,CA,0,SCH-WKDY
T150,CA,0,SCH-WKDY
T151,CA,0,SCH-WKDY
T152,CA,0,SCH-WKDY
T153,CA,0,SCH-WKDY
T154,CA,0,SCH-WKDY
T155,CA,0,SCH-WKDY
T156,CA,0,SCH-WKDY
T157,CA,0,SCH-WKDY
T158,CA,0,SCH-WKDY
T159,CA,0,SCH-WKDY
T160,CA,0,SCH-WKDY
T161,CA,0,SCH-WKDY
T162,CA,0,SCH-WKDY
T163,CA,0,SCH-WKDY
T164,CA,0,SCH-WKDY
T165,CA,0,SCH-WKDY
T166,CA,0,SCH-WKDY
T167,CA,0,SCH-WKDY
T168,CA,0,SCH-WKDY
T169,CA,0,SCH-WKDY
T170,CA,0,SCH-WKDY
T171,CA,0,SCH-WKDY
T172,CA,0,SCH-WKDY
T173,CA,0,SCH-WKDY
T174,CA,0,SCH-WKDY
T175,CA,0,SCH-WKDY
T176,CA,0,SCH-WKDY
T177,CA,0,SCH-WKDY
T178,E1,1,SCH-WKDY
T179,E1,1,SCH-WKDY
T180,E1,1,SCH-WKDY
T181,E1,1,SCH-WKDY
T182,E1,1,SCH-WKDY
T183,E1,1,SCH-WKDY
T184,E1,1,SCH-WKDY
T185,E1,1,SCH-WKDY
T186,E1,1,SCH-WKDY
T187,E1,1,SCH-WKDY
T188,E1,1,SCH-WKDY
T189,E1,1,SCH-WKDY
T190,E1,1,SCH-WKDY
T191,E1,1,SCH-WKDY
T192,E1,1,SCH-WKDY
T193,E1,1,SCH-WKDY
T194,E1,1,SCH-WKDY
T195,E1,1,SCH-WKDY
T196,E1,1,SCH-WKDY
T197,E1,1,SCH-WKDY
T198,E1,1,SCH-WKDY
T199,E1,1,SCH-WKDY
T200,E1,1,SCH-WKDY
T201,E1,1,SCH-WKDY
T202,E1,1,SCH-WKDY
T203,E1,1,SCH-WKDY
T204,E1,1,SCH-WKDY
T205,E1,1,SCH-WKDY
T206,E1,1,SCH-WKDY
T207,E1,1,SCH-WKDY
T208,E1,1,SCH-WKDY
T209,E1,1,SCH-WKDY
T210,E1,1,SCH-WKDY
T211,E1,1,SCH-WKDY
T212,E1,1,SCH-WKDY
T213,E1,1,SCH-WKDY
T214,E1,1,SCH-WKDY
T215,E1,1,SCH-WKDY
T216,E1,1,SCH-WKDY
T217,E1,1,SCH-WKDY
T218,E1,1,SCH-WKDY
T219,E1,1,SCH-WKDY
T220,E1,1,SCH-WKDY
T221,E1,1,SCH-WKDY
T222,E1,1,SCH-WKDY
T223,E1,1,SCH-WKDY
T224,E1,1,SCH-WKDY
T225,E1,1,SCH-WKDY
T226,E1,1,SCH-WKDY
T227,E1,1,SCH-WKDY
T228,E1,1,SCH-WKDY
T229,E1,1,SCH-WKDY
T230,E1,1,SCH-WKDY
T231,E1,1,SCH-WKDY
T232,E1,1,SCH-WKDY
T233,E1,1,SCH-WKDY
T234,E1,1,SCH-WKDY
T235,E1,1,SCH-WKDY
T236,E1,1,SCH-WKDY
T237,E1,1,SCH-WKDY
T238,E1,1,SCH-WKDY
T239,E1,1,SCH-WKDY
T240,E1,1,SCH-WKDY
T241,E1,1,SCH-WKDY
T242,E1,1,SCH-WKDY
T243,E1,1,SCH-WKDY
T244,E1,1,SCH-WKDY
T245,E1,1,SCH-WKDY
T246,E1,1,SCH-WKDY
T247,E1,1,SCH-WKDY
T248,E1,1,SCH-WKDY
T249,E1,1,SCH-WKDY
T250,E1,0,SCH-WKDY
T251,E1,0,SCH-WKDY
T252,E1,0,SCH-WKDY
T253,E1,0,SCH-WKDY
T254,E1,0,SCH-WKDY
T255,E1,0,SCH-WKDY
T256,E1,0,SCH-WKDY
T257,E1,0,SCH-WKDY
T258,E1,0,SCH-WKDY
T259,E1,0,SCH-WKDY
T260,E1,0,SCH-WKDY
T261,E1,0,SCH-WKDY
T262,E1,0,SCH-WKDY
T263,E1,0,SCH-WKDY
T264,E1,0,SCH-WKDY
T265,E1,0,SCH-WKDY
T266,E1,0,SCH-WKDY
T267,E1,0,SCH-WKDY
T268,E1,0,SCH-WKDY
T269,E1,0,SCH-WKDY
T270,E1,0,SCH-WKDY
T271,E1,0,SCH-WKDY
T272,E1,0,SCH-WKDY
T273,E1,0,SCH-WKDY
T274,E1,0,SCH-WKDY
T275,E1,0,SCH-WKDY
T276,E1,0,SCH-WKDY
T277,E1,0,SCH-WKDY
T278,E1,0,SCH-WKDY
T279,E1,0,SCH-WKDY
T280,E1,0,SCH-WKDY
T281,E1,0,SCH-WKDY
T282,E1,0,SCH-WKDY
T283,E1,0,SCH-WKDY
T284,E1,0,SCH-WKDY
T285,E1,0,SCH-WKDY
T286,E1,0,SCH-WKDY
T287,E1,0,SCH-WKDY
T288,E1,0,SCH-WKDY
T289,E1,0,SCH-WKDY
T290,E1,0,SCH-WKDY
T291,E1,0,SCH-WKDY
T292,E1,0,SCH-WKDY
T293,E1,0,SCH-WKDY
T294,E1,0,SCH-WKDY
T295,E1,0,SCH-WKDY
T296,E1,0,SCH-WKDY
T297,E1,0,SCH-WKDY
T298,E1,0,SCH-WKDY
T299,E1,0,SCH-WKDY
T300,E1,0,SCH-WKDY
T301,E1,0,SCH-WKDY
T302,E1,0,SCH-WKDY
T303,E1,0,SCH-WKDY
T304,E1,0,SCH-WKDY
T305,E1,0,SCH-WKDY
T306,E1,0,SCH-WKDY
T307,E1,0,SCH-WKDY
T308,E1,0,SCH-WKDY
T309,E1,0,SCH-WKDY
T310,E1,0,SCH-WKDY
T311,E1,0,SCH-WKDY
T312,E1,0,SCH-WKDY
T313,E1,0,SCH-WKDY
T314,E1,0,SCH-WKDY
T315,E1,0,SCH-WKDY
T316,E1,0,SCH-WKDY
T317,E1,0,SCH-WKDY
T318,E1,0,SCH-WKDY
T319,E1,0,SCH-WKDY
T320,E1,0,SCH-WKDY
T321,GRN,0,SCH-WKDY
T322,GRN,0,SCH-WKDY
T323,GRN,0,SCH-WKDY
T324,GRN,0,SCH-WKDY
T325,GRN,0,SCH-WKDY
T326,GRN,0,SCH-WKDY
T327,GRN,0,SCH-WKDY
T328,GRN,0,SCH-WKDY
T329,GRN,0,SCH-WKDY
T330,GRN,0,SCH-WKDY
T331,GRN,0,SCH-WKDY
T332,GRN,0,SCH-WKDY
T333,GRN,0,SCH-WKDY
T334,GRN,0,SCH-WKDY
T335,GRN,0,SCH-WKDY
T336,GRN,0,SCH-WKDY
T337,GRN,0,SCH-WKDY
T338,GRN,0,SCH-WKDY
T339,GRN,0,SCH-WKDY
T340,GRN,0,SCH-WKDY
T341,GRN,0,SCH-WKDY
T342,GRN,0,SCH-WKDY
T343,GRN,0,SCH-WKDY
T344,GRN,0,SCH-WKDY
T345,GRN,0,SCH-WKDY
T346,GRN,0,SCH-WKDY
T347,GRN,0,SCH-WKDY
T348,GRN,0,SCH-WKDY
T349,GRN,0,SCH-WKDY
T350,GRN,0,SCH-WKDY
T351,GRN,0,SCH-WKDY
T352,GRN,0,SCH-WKDY
T353,GRN,0,SCH-WKDY
T354,GRN,0,SCH-WKDY
T355,GRN,0,SCH-WKDY
T356,GRN,0,SCH-WKDY
T357,GRN,0,SCH-WKDY
T358,GRN,0,SCH-WKDY
T359,GRN,0,SCH-WKDY
T360,GRN,0,SCH-WKDY
T361,GRN,0,SCH-WKDY
T362,GRN,0,SCH-WKDY
T363,GRN,0,SCH-WKDY
T364,GRN,0,SCH-WKDY
T365,GRN,0,SCH-WKDY
T366,GRN,0,SCH-WKDY
T367,GRN,0,SCH-WKDY
T368,GRN,0,SCH-WKDY
T369,GRN,0,SCH-WKDY
T370,GRN,0,SCH-WKDY
T371,GRN,0,SCH-WKDY
T372,GRN,0,SCH-WKDY
T373,GRN,0,SCH-WKDY
T374,GRN,0,SCH-WKDY
T375,GRN,0,SCH-WKDY
T376,GRN,0,SCH-WKDY
T377,GRN,0,SCH-WKDY
T378,GRN,0,SCH-WKDY
T379,GRN,0,SCH-WKDY
T380,GRN,0,SCH-WKDY
T381,GRN,0,SCH-WKDY
T382,GRN,0,SCH-WKDY
T383,MP,1,SCH-WKDY
T384,MP,1,SCH-WKDY
T385,MP,1,SCH-WKDY
T386,MP,1,SCH-WKDY
T387,MP,1,SCH-WKDY
T388,MP,1,SCH-WKDY
T389,MP,1,SCH-WKDY
T390,MP,1,SCH-WKDY
T391,MP,1,SCH-WKDY
T392,MP,1,SCH-WKDY
T393,MP,1,SCH-WKDY
T394,MP,1,SCH-WKDY
T395,MP,1,SCH-WKDY
T396,MP,1,SCH-WKDY
T397,MP,1,SCH-WKDY
T398,MP,1,SCH-WKDY
T399,MP,1,SCH-WKDY
T400,MP,1,SCH-WKDY
T401,MP,1,SCH-WKDY
T402,MP,1,SCH-WKDY
T403,MP,1,SCH-WKDY
T404,MP,1,SCH-WKDY
T405,MP,1,SCH-WKDY
T406,MP,1,SCH-WKDY
T407,MP,1,SCH-WKDY
T408,MP,1,SCH-WKDY
T409,MP,1,SCH-WKDY
T410,MP,1,SCH-WKDY
T411,MP,1,SCH-WKDY
T412,MP,1,SCH-WKDY
T413,MP,1,SCH-WKDY
T414,MP,1,SCH-WKDY
T415,MP,1,SCH-WKDY
T416,MP,1,SCH-WKDY
T417,MP,1,SCH-WKDY
T418,MP,1,SCH-WKDY
T419,MP,1,SCH-WKDY
T420,MP,1,SCH-WKDY
T421,MP,1,SCH-WKDY
T422,MP,1,SCH-WKDY
T423,MP,1,SCH-WKDY
T424,MP,1,SCH-WKDY
T425,MP,1,SCH-WKDY
T426,MP,1,SCH-WKDY
T427,MP,1,SCH-WKDY
T428,MP,1,SCH-WKDY
T429,MP,1,SCH-WKDY
T430,MP,1,SCH-WKDY
T431,MP,1,SCH-WKDY
T432,MP,1,SCH-WKDY
T433,MP,1,SCH-WKDY
T434,MP,1,SCH-WKDY
T435,MP,1,SCH-WKDY
T436,MP,1,SCH-WKDY
T437,MP,1,SCH-WKDY
T438,MP,1,SCH-WKDY
T439,MP,1,SCH-WKDY
T440,MP,1,SCH-WKDY
T441,MP,1,SCH-WKDY
T442,MP,1,SCH-WKDY
T443,MP,1,SCH-WKDY
T444,MP,1,SCH-WKDY
T445,MP,1,SCH-WKDY
T446,MP,1,SCH-WKDY
T447,MP,1,SCH-WKDY
T448,MP,1,SCH-WKDY
T449,MP,1,SCH-WKDY
T450,MP,1,SCH-WKDY
T451,MP,1,SCH-WKDY
T452,MP,1,SCH-WKDY
T453,MP,0,SCH-WKDY
T454,MP,0,SCH-WKDY
T455,MP,0,SCH-WKDY
T456,MP,0,SCH-WKDY
T457,MP,0,SCH-WKDY
T458,MP,0,SCH-WKDY
T459,MP,0,SCH-WKDY
T460,MP,0,SCH-WKDY
T461,MP,0,SCH-WKDY
T462,MP,0,SCH-WKDY
T463,MP,0,SCH-WKDY
T464,MP,0,SCH-WKDY
T465,MP,0,SCH-WKDY
T466,MP,0,SCH-WKDY
T467,MP,0,SCH-WKDY
T468,MP,0,SCH-WKDY
T469,MP,0,SCH-WKDY
T470,MP,0,SCH-WKDY
T471,MP,0,SCH-WKDY
T472,MP,0,SCH-WKDY
T473,MP,0,SCH-WKDY
T474,MP,0,SCH-WKDY
T475,MP,0,SCH-WKDY
T476,MP,0,SCH-WKDY
T477,MP,0,SCH-WKDY
T478,MP,0,SCH-WKDY
T479,MP,0,SCH-WKDY
T480,MP,0,SCH-WKDY
T481,MP,0,SCH-WKDY
T482,MP,0,SCH-WKDY
T483,MP,0,SCH-WKDY
T484,MP,0,SCH-WKDY
T485,MP,0,SCH-WKDY
T486,MP,0,SCH-WKDY
T487,MP,0,SCH-WKDY
T488,MP,0,SCH-WKDY
T489,MP,0,SCH-WKDY
T490,MP,0,SCH-WKDY
T491,MP,0,SCH-WKDY
T492,MP,0,SCH-WKDY
T493,MP,0,SCH-WKDY
T494,MP,0,SCH-WKDY
T495,MP,0,SCH-WKDY
T496,MP,0,SCH-WKDY
T497,MP,0,SCH-WKDY
T498,MP,0,SCH-WKDY
T499,MP,0,SCH-WKDY
T500,MP,0,SCH-WKDY
T501,MP,0,SCH-WKDY
T502,MP,0,SCH-WKDY
T503,MP,0,SCH-WKDY
T504,MP,0,SCH-WKDY
T505,MP,0,SCH-WKDY
T506,MP,0,SCH-WKDY
T507,MP,0,SCH-WKDY
T508,MP,0,SCH-WKDY
T509,MP,0,SCH-WKDY
T510,MP,0,SCH-WKDY
T511,MP,0,SCH-WKDY
T512,MP,0,SCH-WKDY
T513,MP,0,SCH-WKDY
T514,MP,0,SCH-WKDY
T515,MP,0,SCH-WKDY
T516,MP,0,SCH-WKDY
T517,MP,0,SCH-WKDY
T518,MP,0,SCH-WKDY
T519,MP,0,SCH-WKDY
T520,MP,0,SCH-WKDY
T521,MP,0,SCH-WKDY
T522,MP,0,SCH-WKDY
T523,ORG,1,SCH-WKDY
T524,ORG,1,SCH-WKDY
T525,ORG,1,SCH-WKDY
T526,ORG,1,SCH-WKDY
T527,ORG,1,SCH-WKDY
T528,ORG,1,SCH-WKDY
T529,ORG,1,SCH-WKDY
T530,ORG,1,SCH-WKDY
T531,ORG,1,SCH-WKDY
T532,ORG,1,SCH-WKDY
T533,ORG,1,SCH-WKDY
T534,ORG,1,SCH-WKDY
T535,ORG,1,SCH-WKDY
T536,ORG,1,SCH-WKDY
T537,ORG,1,SCH-WKDY
T538,ORG,1,SCH-WKDY
T539,ORG,1,SCH-WKDY
T540,ORG,1,SCH-WKDY
T541,ORG,1,SCH-WKDY
T542,ORG,1,SCH-WKDY
T543,ORG,1,SCH-WKDY
T544,ORG,1,SCH-WKDY
T545,ORG,1,SCH-WKDY
T546,ORG,1,SCH-WKDY
T547,ORG,1,SCH-WKDY
T548,ORG,1,SCH-WKDY
T549,ORG,1,SCH-WKDY
T550,ORG,1,SCH-WKDY
T551,ORG,1,SCH-WKDY
T552,ORG,1,SCH-WKDY
T553,ORG,1,SCH-WKDY
T554,ORG,1,SCH-WKDY
T555,ORG,1,SCH-WKDY
T556,ORG,1,SCH-WKDY
T557,ORG,1,SCH-WKDY
T558,ORG,1,SCH-WKDY
T559,ORG,1,SCH-WKDY
T560,ORG,1,SCH-WKDY
T561,ORG,1,SCH-WKDY
T562,ORG,1,SCH-WKDY
T563,ORG,1,SCH-WKDY
T564,ORG,1,SCH-WKDY
T565,ORG,1,SCH-WKDY
T566,ORG,1,SCH-WKDY
T567,ORG,1,SCH-WKDY
T568,ORG,1,SCH-WKDY
T569,ORG,1,SCH-WKDY
T570,ORG,1,SCH-WKDY
T571,ORG,1,SCH-WKDY
T572,ORG,1,SCH-WKDY
T573,ORG,1,SCH-WKDY
T574,ORG,1,SCH-WKDY
T575,ORG,1,SCH-WKDY
T576,ORG,1,SCH-WKDY
T577,ORG,1,SCH-WKDY
T578,ORG,1,SCH-WKDY
T579,ORG,1,SCH-WKDY
T580,ORG,1,SCH-WKDY
T581,ORG,1,SCH-WKDY
T582,ORG,1,SCH-WKDY
T583,ORG,1,SCH-WKDY
T584,ORG,1,SCH-WKDY
T585,ORG,1,SCH-WKDY
T586,ORG,1,SCH-WKDY
T587,ORG,1,SCH-WKDY
T588,ORG,1,SCH-WKDY
T589,ORG,1,SCH-WKDY
T590,ORG,1,SCH-WKDY
T591,ORG,1,SCH-WKDY
T592,ORG,1,SCH-WKDY
T593,ORG,1,SCH-WKDY
T594,ORG,1,SCH-WKDY
T595,ORG,1,SCH-WKDY
T596,ORG,1,SCH-WKDY
T597,ORG,1,SCH-WKDY
T598,ORG,1,SCH-WKDY
T599,ORG,1,SCH-WKDY
T600,ORG,1,SCH-WKDY
T601,ORG,1,SCH-WKDY
T602,ORG,1,SCH-WKDY
T603,ORG,1,SCH-WKDY
T604,ORG,1,SCH-WKDY
T605,ORG,1,SCH-WKDY
T606,ORG,1,SCH-WKDY
T607,ORG,1,SCH-WKDY
T608,ORG,1,SCH-WKDY
T609,ORG,1,SCH-WKDY
T610,ORG,1,SCH-WKDY
T611,ORG,1,SCH-WKDY
T612,ORG,1,SCH-WKDY
T613,ORG,1,SCH-WKDY
T614,ORG,1,SCH-WKDY
T615,ORG,1,SCH-WKDY
T616,ORG,1,SCH-WKDY
T617,ORG,1,SCH-WKDY
T618,ORG,1,SCH-WKDY
T619,ORG,1,SCH-WKDY
T620,ORG,1,SCH-WKDY
T621,ORG,1,SCH-WKDY
T622,PRK,0,SCH-WKDY
T623,PRK,0,SCH-WKDY
T624,PRK,0,SCH-WKDY
T625,PRK,0,SCH-WKDY
T626,PRK,0,SCH-WKDY
T627,PRK,0,SCH-WKDY
T628,PRK,0,SCH-WKDY
T629,PRK,0,SCH-WKDY
T630,PRK,0,SCH-WKDY
T631,PRK,0,SCH-WKDY
T632,PRK,0,SCH-WKDY
T633,PRK,0,SCH-WKDY
T634,PRK,0,SCH-WKDY
T635,PRK,0,SCH-WKDY
T636,PUR,1,SCH-WKDY
T637,PUR,1,SCH-WKDY
T638,PUR,1,SCH-WKDY
T639,PUR,1,SCH-WKDY
T640,PUR,1,SCH-WKDY
T641,PUR,1,SCH-WKDY
T642,PUR,1,SCH-WKDY
T643,PUR,1,SCH-WKDY
T644,PUR,1,SCH-WKDY
T645,PUR,1,SCH-WKDY
T646,PUR,1,SCH-WKDY
T647,PUR,1,SCH-WKDY
T648,PUR,1,SCH-WKDY
T649,PUR,1,SCH-WKDY
T650,PUR,1,SCH-WKDY
T651,PUR,1,SCH-WKDY
T652,PUR,1,SCH-WKDY
T653,PUR,1,SCH-WKDY
T654,PUR,1,SCH-WKDY
T655,PUR,1,SCH-WKDY
T656,PUR,1,SCH-WKDY
T657,PUR,1,SCH-WKDY
T658,PUR,1,SCH-WKDY
T659,PUR,0,SCH-WKDY
T660,PUR,0,SCH-WKDY
T661,PUR,0,SCH-WKDY
T662,PUR,0,SCH-WKDY
T663,PUR,0,SCH-WKDY
T664,PUR,0,SCH-WKDY
T665,PUR,0,SCH-WKDY
T666,PUR,0,SCH-WKDY
T667,PUR,0,SCH-WKDY
T668,PUR,0,SCH-WKDY
T669,PUR,0,SCH-WKDY
T670,PUR,0,SCH-WKDY
T671,PUR,0,SCH-WKDY
T672,PUR,0,SCH-WKDY
T673,PUR,0,SCH-WKDY
T674,PUR,0,SCH-WKDY
T675,PUR,0,SCH-WKDY
T676,PUR,0,SCH-WKDY
T677,PUR,0,SCH-WKDY
T678,PUR,0,SCH-WKDY
T679,PUR,0,SCH-WKDY
T680,PUR,0,SCH-WKDY
