trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign
T047,15:37:00,15:37:00,755005,1,
T047,15:42:00,15:42:00,755000,2,
T048,15:45:00,15:45:00,755005,1,
T048,15:50:00,15:50:00,755000,2,
T049,15:53:00,15:53:00,755005,1,
T049,15:58:00,15:58:00,755000,2,
T050,16:01:00,16:01:00,755005,1,
T050,16:06:00,16:06:00,755000,2,
T051,16:09:00,16:09:00,755005,1,
T051,16:14:00,16:14:00,755000,2,
T052,16:17:00,16:17:00,755005,1,
T052,16:22:00,16:22:00,755000,2,
T053,16:25:00,16:25:00,755005,1,
T053,16:30:00,16:30:00,755000,2,
T054,16:33:00,16:33:00,755005,1,
T054,16:38:00,16:38:00,755000,2,
T055,16:41:00,16:41:00,755005,1,
T055,16:46:00,16:46:00,755000,2,
T056,16:49:00,16:49:00,755005,1,
T056,16:54:00,16:54:00,755000,2,
T057,16:57:00,16:57:00,755005,1,
T057,17:02:00,17:02:00,755000,2,
T058,17:05:00,17:05:00,755005,1,
T058,17:10:00,17:10:00,755000,2,
T059,17:13:00,17:13:00,755005,1,
T059,17:18:00,17:18:00,755000,2,
T060,17:21:00,17:21:00,755005,1,
T060,17:26:00,17:26:00,755000,2,
T061,17:29:00,17:29:00,755005,1,
T061,17:34:00,17:34:00,755000,2,
T062,17:37:00,17:37:00,755005,1,
T062,17:42:00,17:42:00,755000,2,
T063,17:45:00,17:45:00,755005,1,
T063,17:50:00,17:50:00,755000,2,
T064,17:53:00,17:53:00,755005,1,
T064,17:58:00,17:58:00,755000,2,
T065,18:01:00,18:01:00,755005,1,
T065,18:06:00,18:06:00,755000,2,
T066,18:09:00,18:09:00,755005,1,
T066,18:14:00,18:14:00,755000,2,
T067,18:17:00,18:17:00,755005,1,
T067,18:22:00,18:22:00,755000,2,
T068,18:25:00,18:25:00,755005,1,
T068,18:30:00,18:30:00,755000,2,
T069,18:31:00,18:31:00,755005,1,
T069,18:36:00,18:36:00,755000,2,
T070,18:41:00,18:41:00,755005,1,
T070,18:46:00,18:46:00,755000,2,
T071,18:47:00,18:47:00,755005,1,
T071,18:52:00,18:52:00,755000,2,
T072,18:53:00,18:53:00,755005,1,
T072,18:58:00,18:58:00,755000,2,
T073,19:03:00,19:03:00,755005,1,
T073,19:08:00,19:08:00,755000,2,
T074,19:12:00,19:12:00,755005,1,
T074,19:17:00,19:17:00,755000,2,
T075,19:20:00,19:20:00,755005,1,
T075,19:25:00,19:25:00,755000,2,
T076,19:28:00,19:28:00,755005,1,
T076,19:33:00,19:33:00,755000,2,
T077,19:32:00,19:32:00,755005,1,
T077,19:37:00,19:37:00,755000,2,
T078,19:39:00,19:39:00,755005,1,
T078,19:44:00,19:44:00,755000,2,
T079,19:44:00,19:44:00,755005,1,
T079,19:49:00,19:49:00,755000,2,
T080,19:50:00,19:50:00,755005,1,
T080,19:55:00,19:55:00,755000,2,
T081,19:56:00,19:56:00,755005,1,
T081,20:01:00,20:01:00,755000,2,
T082,20:01:00,20:01:00,755005,1,
T082,20:06:00,20:06:00,755000,2,
T083,20:12:00,20:12:00,755005,1,
T083,20:17:00,20:17:00,755000,2,
T084,20:23:00,20:23:00,755005,1,
T084,20:28:00,20:28:00,755000,2,
T085,20:34:00,20:34:00,755005,1,
T085,20:39:00,20:39:00,755000,2,
T086,20:45:00,20:45:00,755005,1,
T086,20:50:00,20:50:00,755000,2,
T087,20:56:00,20:56:00,755005,1,
T087,21:01:00,21:01:00,755000,2,
T089,05:37:00,05:37:00,755000,1,
T089,05:42:00,05:42:00,755005,2,
T090,05:45:00,05:45:00,755000,1,
T090,05:50:00,05:50:00,755005,2,
T091,05:52:00,05:52:00,755000,1,
T091,05:57:00,05:57:00,755005,2,
T092,05:55:00,05:55:00,755000,1,
T092,05:59:00,05:59:00,755005,2,
T093,05:59:00,05:59:00,755000,1,
T093,06:04:00,06:04:00,755005,2,
T094,06:07:00,06:07:00,755000,1,
T094,06:12:00,06:12:00,755005,2,
T095,06:10:00,06:10:00,755000,1,
T095,06:14:00,06:14:00,755005,2,
T096,06:14:00,06:14:00,755000,1,
T096,06:19:00,06:19:00,755005,2,
T097,06:21:00,06:21:00,755000,1,
T097,06:26:00,06:26:00,755005,2,
T098,06:25:00,06:25:00,755000,1,
T098,06:29:00,06:29:00,755005,2,
T099,06:29:00,06:29:00,755000,1,
T099,06:34:00,06:34:00,755005,2,
T100,06:36:00,06:36:00,755000,1,
T100,06:41:00,06:41:00,755005,2,
T101,06:40:00,06:40:00,755000,1,
T101,06:44:00,06:44:00,755005,2,
T102,06:43:00,06:43:00,755000,1,
T102,06:48:00,06:48:00,755005,2,
T103,06:51:00,06:51:00,755000,1,
T103,06:56:00,06:56:00,755005,2,
T104,06:55:00,06:55:00,755000,1,
T104,06:59:00,06:59:00,755005,2,
T105,06:58:00,06:58:00,755000,1,
T105,07:03:00,07:03:00,755005,2,
T106,07:05:00,07:05:00,755000,1,
T106,07:10:00,07:10:00,755005,2,
T107,07:10:00,07:10:00,755000,1,
T107,07:14:00,07:14:00,755005,2,
T108,07:13:00,07:13:00,755000,1,
T108,07:18:00,07:18:00,755005,2,
T109,07:20:00,07:20:00,755000,1,
T109,07:25:00,07:25:00,755005,2,
T110,07:25:00,07:25:00,755000,1,
T110,07:29:00,07:29:00,755005,2,
T111,07:27:00,07:27:00,755000,1,
T111,07:32:00,07:32:00,755005,2,
T112,07:35:00,07:35:00,755000,1,
T112,07:40:00,07:40:00,755005,2,
T113,07:40:00,07:40:00,755000,1,
T113,07:44:00,07:44:00,755005,2,
T114,07:42:00,07:42:00,755000,1,
T114,07:47:00,07:47:00,755005,2,
T115,07:49:00,07:49:00,755000,1,
T115,07:54:00,07:54:00,755005,2,
T116,07:55:00,07:55:00,755000,1,
T116,07:59:00,07:59:00,755005,2,
T117,07:57:00,07:57:00,755000,1,
T117,08:02:00,08:02:00,755005,2,
T118,08:04:00,08:04:00,755000,1,
T118,08:09:00,08:09:00,755005,2,
T119,08:11:00,08:11:00,755000,1,
T119,08:16:00,08:16:00,755005,2,
T120,08:19:00,08:19:00,755000,1,
T120,08:24:00,08:24:00,755005,2,
T121,08:26:00,08:26:00,755000,1,
T121,08:31:00,08:31:00,755005,2,
T122,08:33:00,08:33:00,755000,1,
T122,08:38:00,08:38:00,755005,2,
T123,08:41:00,08:41:00,755000,1,
T123,08:46:00,08:46:00,755005,2,
T124,08:48:00,08:48:00,755000,1,
T124,08:53:00,08:53:00,755005,2,
T125,08:55:00,08:55:00,755000,1,
T125,09:00:00,09:00:00,755005,2,
T126,09:03:00,09:03:00,755000,1,
T126,09:08:00,09:08:00,755005,2,
T127,09:10:00,09:10:00,755000,1,
T127,09:15:00,09:15:00,755005,2,
T128,09:25:00,09:25:00,755000,1,
T128,09:30:00,09:30:00,755005,2,
T129,09:47:00,09:47:00,755000,1,
T129,09:52:00,09:52:00,755005,2,
T130,14:50:00,14:50:00,755000,1,
T130,14:55:00,14:55:00,755005,2,
T131,15:00:00,15:00:00,755000,1,
T131,15:05:00,15:05:00,755005,2,
T132,15:06:00,15:06:00,755000,1,
T132,15:11:00,15:11:00,755005,2,
T133,15:15:00,15:15:00,755000,1,
T133,15:20:00,15:20:00,755005,2,
T134,15:23:00,15:23:00,755000,1,
T134,15:28:00,15:28:00,755005,2,
T135,15:31:00,15:31:00,755000,1,
T135,15:36:00,15:36:00,755005,2,
T136,15:39:00,15:39:00,755000,1,
T136,15:44:00,15:44:00,755005,2,
T137,15:47:00,15:47:00,755000,1,
T137,15:52:00,15:52:00,755005,2,
T138,15:55:00,15:55:00,755000,1,
T138,16:00:00,16:00:00,755005,2,
T139,16:03:00,16:03:00,755000,1,
T139,16:08:00,16:08:00,755005,2,
T140,16:11:00,16:11:00,755000,1,
T140,16:16:00,16:16:00,755005,2,
T141,16:19:00,16:19:00,755000,1,
T141,16:24:00,16:24:00,755005,2,
T142,16:27:00,16:27:00,755000,1,
T142,16:32:00,16:32:00,755005,2,
T143,16:35:00,16:35:00,755000,1,
T143,16:40:00,16:40:00,755005,2,
T144,16:43:00,16:43:00,755000,1,
T144,16:48:00,16:48:00,755005,2,
T145,16:51:00,16:51:00,755000,1,
T145,16:56:00,16:56:00,755005,2,
T146,16:59:00,16:59:00,755000,1,
T146,17:04:00,17:04:00,755005,2,
T147,17:07:00,17:07:00,755000,1,
T147,17:12:00,17:12:00,755005,2,
T148,17:15:00,17:15:00,755000,1,
T148,17:20:00,17:20:00,755005,2,
T149,17:23:00,17:23:00,755000,1,
T149,17:28:00,17:28:00,755005,2,
T150,17:31:00,17:31:00,755000,1,
T150,17:36:00,17:36:00,755005,2,
T151,17:39:00,17:39:00,755000,1,
T151,17:44:00,17:44:00,755005,2,
T152,17:47:00,17:47:00,755000,1,
T152,17:52:00,17:52:00,755005,2,
T153,17:55:00,17:55:00,755000,1,
T153,18:00:00,18:00:00,755005,2,
T154,18:03:00,18:03:00,755000,1,
T154,18:08:00,18:08:00,755005,2,
T155,18:11:00,18:11:00,755000,1,
T155,18:16:00,18:16:00,755005,2,
T156,18:19:00,18:19:00,755000,1,
T156,18:24:00,18:24:00,755005,2,
T157,18:25:00,18:25:00,755000,1,
T157,18:30:00,18:30:00,755005,2,
T158,18:35:00,18:35:00,755000,1,
T158,18:40:00,18:40:00,755005,2,
T159,18:41:00,18:41:00,755000,1,
T159,18:46:00,18:46:00,755005,2,
T160,18:47:00,18:47:00,755000,1,
T160,18:52:00,18:52:00,755005,2,
T161,18:57:00,18:57:00,755000,1,
T161,19:02:00,19:02:00,755005,2,
T162,19:06:00,19:06:00,755000,1,
T162,19:11:00,19:11:00,755005,2,
T163,19:14:00,19:14:00,755000,1,
T163,19:19:00,19:19:00,755005,2,
T164,19:22:00,19:22:00,755000,1,
T164,19:27:00,19:27:00,755005,2,
T165,19:26:00,19:26:00,755000,1,
T165,19:31:00,19:31:00,755005,2,
T166,19:33:00,19:33:00,755000,1,
T166,19:38:00,19:38:00,755005,2,
T167,19:38:00,19:38:00,755000,1,
T167,19:43:00,19:43:00,755005,2,
T168,19:44:00,19:44:00,755000,1,
T168,19:49:00,19:49:00,755005,2,
T169,19:50:00,19:50:00,755000,1,
T169,19:55:00,19:55:00,755005,2,
T170,19:55:00,19:55:00,755000,1,
T170,20:00:00,20:00:00,755005,2,
T171,20:02:00,20:02:00,755000,1,
T171,20:07:00,20:07:00,755005,2,
T172,20:06:00,20:06:00,755000,1,
T172,20:11:00,20:11:00,755005,2,
T173,20:17:00,20:17:00,755000,1,
T173,20:22:00,20:22:00,755005,2,
T174,20:28:00,20:28:00,755000,1,
T174,20:33:00,20:33:00,755005,2,
T175,20:39:00,20:39:00,755000,1,
T175,20:44:00,20:44:00,755005,2,
T176,20:50:00,20:50:00,755000,1,
T176,20:55:00,20:55:00,755005,2,
T177,21:01:00,21:01:00,755000,1,
T177,21:06:00,21:06:00,755005,2,
T178,05:32:00,05:32:00,755006,1,
T178,05:37:00,05:37:00,755000,2,
T179,05:40:00,05:40:00,755006,1,
T179,05:45:00,05:45:00,755000,2,
T180,05:47:00,05:47:00,755006,1,
T180,05:52:00,05:52:00,755000,2,
T181,05:54:00,05:54:00,755006,1,
T181,05:59:00,05:59:00,755000,2,
T182,06:02:00,06:02:00,755006,1,
T182,06:07:00,06:07:00,755000,2,
T183,06:09:00,06:09:00,755006,1,
T183,06:14:00,06:14:00,755000,2,
T184,06:16:00,06:16:00,755006,1,
T184,06:21:00,06:21:00,755000,2,
T185,06:24:00,06:24:00,755006,1,
T185,06:29:00,06:29:00,755000,2,
T186,06:31:00,06:31:00,755006,1,
T186,06:36:00,06:36:00,755000,2,
T187,06:38:00,06:38:00,755006,1,
T187,06:43:00,06:43:00,755000,2,
T188,06:46:00,06:46:00,755006,1,
T188,06:51:00,06:51:00,755000,2,
T189,06:53:00,06:53:00,755006,1,
T189,06:58:00,06:58:00,755000,2,
T190,07:00:00,07:00:00,755006,1,
T190,07:05:00,07:05:00,755000,2,
T191,07:08:00,07:08:00,755006,1,
T191,07:13:00,07:13:00,755000,2,
T192,07:15:00,07:15:00,755006,1,
T192,07:20:00,07:20:00,755000,2,
T193,07:22:00,07:22:00,755006,1,
T193,07:27:00,07:27:00,755000,2,
T194,07:30:00,07:30:00,755006,1,
T194,07:35:00,07:35:00,755000,2,
T195,07:37:00,07:37:00,755006,1,
T195,07:42:00,07:42:00,755000,2,
T196,07:44:00,07:44:00,755006,1,
T196,07:49:00,07:49:00,755000,2,
T197,07:52:00,07:52:00,755006,1,
T197,07:57:00,07:57:00,755000,2,
T198,07:59:00,07:59:00,755006,1,
T198,08:04:00,08:04:00,755000,2,
T199,08:06:00,08:06:00,755006,1,
T199,08:11:00,08:11:00,755000,2,
T200,08:14:00,08:14:00,755006,1,
T200,08:19:00,08:19:00,755000,2,
T201,08:21:00,08:21:00,755006,1,
T201,08:26:00,08:26:00,755000,2,
T202,08:28:00,08:28:00,755006,1,
