trip_id,route_id,service_id,trip_headsign,block_id,shape_id
395_TMS920,10,1,Outbound,6804,4
216_TMS1590,7,1,Outbound,4121,9
659_TMS1088,15,1,Outbound,6422,47
1524_TMS1135,16,2,Inbound,6602,34
1891_TMS903,8,3,Outbound,4404,29
991_TMS2261,35,1,Outbound,1012,38
868_TMS1378,21,1,Inbound,9913,65
1026_TMS2202,35,1,Inbound,1011,14
562_TMS982,13,1,Inbound,4406,28
1870_TMS343,7,3,Inbound,4101,42
1352_TMS2316,11,2,Inbound,6603,16
334_TMS148,8,1,Inbound,6203,35
74_TMS16,2,1,Outbound,6601,1
453_TMS614,11,1,Outbound,9402,5
762_TMS1976,17,1,Outbound,6701,20
1529_TMS1140,16,2,Inbound,6602,34
1154_TMS258,7,2,Outbound,4101,9
1232_TMS888,8,2,Outbound,4404,29
775_TMS1989,17,1,Inbound,6701,32
1312_TMS2276,11,2,Outbound,6601,5
1920_TMS1785,10,3,Inbound,6002,37
35_TMS1427,1,1,Inbound,1201,51
668_TMS1909,15,1,Inbound,6412,30
940_TMS485,29,1,Inbound,4404,45
1665_TMS1257,35,2,Outbound,1012,31
92_TMS26,2,1,Outbound,6601,1
2048_TMS1167,16,3,Inbound,6604,34
1754_TMS2105,36,2,Outbound,4131,55
890_TMS1626,28,1,Inbound,4211,11
2126_TMS689,33,3,Outbound,6603,53
986_TMS2256,35,1,Outbound,1011,38
747_TMS1131,16,1,Inbound,6602,68
2037_TMS584,16,3,Outbound,6602,36
1662_TMS1254,35,2,Outbound,1011,31
1018_TMS2194,35,1,Inbound,1011,14
1275_TMS1756,9,2,Outbound,1202,48
1129_TMS1647,5,2,Outbound,6003,3
281_TMS96,8,1,Outbound,4401,29
580_TMS997,13,1,Inbound,4402,28
1369_TMS509,12,2,Outbound,6003,25
1158_TMS262,7,2,Outbound,4101,9
1144_TMS1662,5,2,Inbound,6003,41
138_TMS1526,2,1,Inbound,4104,10
409_TMS934,10,1,Inbound,6801,37
1786_TMS244,2,3,Outbound,1201,1
2116_TMS2394,23,3,Inbound,9902,2
223_TMS52,7,1,Outbound,4101,9
2002_TMS1943,15,3,Outbound,6403,47
761_TMS1975,17,1,Outbound,6701,20
132_TMS1520,2,1,Inbound,4101,10
150_TMS1668,5,1,Outbound,6011,3
1673_TMS1265,35,2,Outbound,1012,31
790_TMS1203,18,1,Outbound,6821,50
275_TMS1594,7,1,Inbound,4102,42
2172_TMS2113,36,3,Outbound,4131,55
156_TMS1674,5,1,Outbound,6001,3
776_TMS1990,17,1,Inbound,6701,32
1390_TMS412,13,2,Outbound,4403,12
167_TMS1688,5,1,Outbound,6021,3
358_TMS1726,9,1,Outbound,1222,48
1670_TMS1262,35,2,Outbound,1011,31
1060_TMS1383,37,1,Inbound,9901,61
851_TMS2045,20,1,Inbound,9403,0
628_TMS1891,14,1,Inbound,6204,17
407_TMS932,10,1,Inbound,6803,37
1984_TMS448,14,3,Outbound,4402,7
917_TMS858,29,1,Outbound,4407,15
317_TMS131,8,1,Inbound,4404,35
1078_TMS227,1,2,Outbound,6403,6
502_TMS1799,12,1,Outbound,6002,25
1105_TMS458,2,2,Outbound,1201,1
1656_TMS2155,29,2,Inbound,4301,45
133_TMS1521,2,1,Inbound,6603,10
1177_TMS1605,7,2,Outbound,4102,9
2050_TMS1169,16,3,Inbound,6602,34
1476_TMS1094,15,2,Outbound,6401,47
1845_TMS321,7,3,Outbound,4102,9
2053_TMS1172,16,3,Inbound,6601,34
862_TMS1372,21,1,Outbound,9902,49
1761_TMS2120,36,2,Inbound,4131,40
641_TMS1039,14,1,Inbound,4404,17
1152_TMS256,7,2,Outbound,4101,9
1135_TMS1653,5,2,Outbound,6003,3
452_TMS613,11,1,Outbound,9404,5
347_TMS1711,9,1,Outbound,1202,48
