trip_id,route_id,service_id,trip_headsign,block_id,shape_id
316_TMS130,8,1,Inbound,4403,35
778_TMS1207,18,1,Outbound,6812,64
2097_TMS2075,20,3,Outbound,9401,39
2001_TMS1942,15,3,Outbound,6402,47
930_TMS480,29,1,Inbound,4407,45
1168_TMS272,7,2,Outbound,4101,9
1914_TMS1779,10,3,Outbound,6002,4
1142_TMS1660,5,2,Inbound,6001,41
505_TMS1802,12,1,Outbound,6001,25
1549_TMS1160,16,2,Inbound,6603,68
1228_TMS886,8,2,Outbound,6201,29
1065_TMS1387,37,1,Inbound,9922,61
0_TMS1404,1,1,Outbound,1211,6
478_TMS171,11,1,Inbound,9403,16
1259_TMS900,8,2,Inbound,4404,35
1104_TMS457,2,2,Outbound,1202,1
486_TMS179,11,1,Inbound,9401,16
130_TMS1518,2,1,Inbound,4104,10
1635_TMS1359,23,2,Inbound,9902,2
904_TMS467,29,1,Outbound,4407,15
1247_TMS894,8,2,Inbound,6202,35
1043_TMS2219,35,1,Inbound,1012,14
945_TMS872,29,1,Inbound,6202,45
1491_TMS1935,15,2,Inbound,6403,30
1493_TMS1937,15,2,Inbound,6402,30
661_TMS1081,15,1,Outbound,6401,47
1740_TMS1331,35,2,Inbound,1011,23
992_TMS2262,35,1,Outbound,1011,38
574_TMS991,13,1,Inbound,4407,28
1361_TMS2325,11,2,Inbound,6602,16
1020_TMS2196,35,1,Inbound,1011,14
2049_TMS1168,16,3,Inbound,6601,34
546_TMS973,13,1,Outbound,4406,12
2055_TMS1174,16,3,Inbound,6603,34
1172_TMS276,7,2,Outbound,4101,9
1536_TMS1147,16,2,Inbound,6604,34
356_TMS1725,9,1,Outbound,1221,48
2115_TMS590,23,3,Inbound,9901,2
1311_TMS2275,11,2,Outbound,6605,5
521_TMS1818,12,1,Inbound,6001,21
812_TMS1223,18,1,Inbound,6822,24
1473_TMS1091,15,2,Outbound,6401,47
474_TMS167,11,1,Inbound,9402,16
1816_TMS1569,5,3,Outbound,6001,3
1557_TMS1997,17,2,Outbound,6701,20
1486_TMS1930,15,2,Inbound,6401,30
1764_TMS235,1,3,Outbound,6403,6
857_TMS1367,21,1,Outbound,9901,49
403_TMS928,10,1,Outbound,6804,4
612_TMS200,14,1,Outbound,4401,7
455_TMS616,11,1,Outbound,9403,5
135_TMS1523,2,1,Inbound,6604,10
1699_TMS1291,35,2,Outbound,1012,31
2132_TMS695,33,3,Outbound,6601,53
1959_TMS1868,13,3,Outbound,4404,12
255_TMS79,7,1,Inbound,4102,42
37_TMS1429,1,1,Inbound,1202,51
1068_TMS2401,37,1,Inbound,9901,61
1308_TMS502,10,2,Inbound,6003,37
267_TMS1603,7,1,Inbound,4122,42
1693_TMS1285,35,2,Outbound,1012,31
545_TMS965,13,1,Outbound,4405,12
1991_TMS1062,14,3,Inbound,4401,17
732_TMS1116,16,1,Inbound,6602,34
1599_TMS2056,20,2,Outbound,9401,39
1074_TMS223,1,2,Outbound,6402,6
1980_TMS444,14,3,Outbound,4402,7
160_TMS1678,5,1,Outbound,6001,3
1865_TMS338,7,3,Inbound,4102,42
1560_TMS2000,17,2,Outbound,6701,20
1243_TMS892,8,2,Inbound,4402,35
1446_TMS435,14,2,Outbound,6201,7
1373_TMS513,12,2,Outbound,6001,25
263_TMS1601,7,1,Inbound,4122,42
645_TMS1085,15,1,Outbound,6412,47
1127_TMS1645,5,2,Outbound,6001,3
1835_TMS311,7,3,Outbound,4102,9
1538_TMS1149,16,2,Inbound,6601,34
1284_TMS1765,9,2,Inbound,1201,27
242_TMS67,7,1,Inbound,4102,42
1634_TMS624,23,2,Inbound,9901,2
1335_TMS2299,11,2,Outbound,6604,5
1619_TMS2089,23,2,Outbound,9901,52
142_TMS1530,2,1,Inbound,4102,10
658_TMS1079,15,1,Outbound,6401,47
1052_TMS1360,37,1,Outbound,9902,72
73_TMS1477,2,1,Outbound,4103,1
1882_TMS379,8,3,Outbound,4403,29
1338_TMS2302,11,2,Inbound,6604,16
803_TMS2014,18,1,Inbound,6804,24
843_TMS2037,20,1,Inbound,9402,0
1918_TMS1783,10,3,Inbound,6003,37
710_TMS215,16,1,Outbound,6603,36
1590_TMS1244,18,2,Inbound,6801,24
1908_TMS1773,10,3,Outbound,6002,4
143_TMS1531,2,1,Inbound,6603,10
528_TMS1825,12,1,Inbound,6021,46
1422_TMS2354,13,2,Inbound,6203,28
1229_TMS359,8,2,Outbound,6202,29
448_TMS609,11,1,Outbound,9403,5
1087_TMS1439,1,2,Inbound,1202,19
1340_TMS2304,11,2,Inbound,6601,16
1241_TMS891,8,2,Inbound,4405,35
854_TMS2048,20,1,Inbound,9402,0
427_TMS952,10,1,Inbound,6801,37
552_TMS976,13,1,Outbound,4401,12
443_TMS604,11,1,Outbound,9405,5
363_TMS1728,9,1,Inbound,1201,8
553_TMS969,13,1,Outbound,4402,12
81_TMS1481,2,1,Outbound,4103,1
1079_TMS228,1,2,Outbound,6401,6
1385_TMS525,12,2,Inbound,6001,21
1285_TMS1766,9,2,Inbound,1202,27
2063_TMS1182,16,3,Inbound,6603,34
1331_TMS2295,11,2,Outbound,6605,5
542_TMS971,13,1,Outbound,4402,12
1580_TMS1235,18,2,Outbound,6802,50
662_TMS1903,15,1,Inbound,6411,30
139_TMS1527,2,1,Inbound,6601,10
2007_TMS1948,15,3,Outbound,6402,47
882_TMS1618,28,1,Outbound,4201,13
1009_TMS2185,35,1,Inbound,1012,14
1774_TMS1452,1,3,Inbound,1201,19
219_TMS50,7,1,Outbound,4103,9
1777_TMS1455,1,3,Inbound,1201,19
1440_TMS2366,14,2,Outbound,4401,7
1173_TMS277,7,2,Outbound,4102,9
1945_TMS1848,12,3,Inbound,6003,21
797_TMS2013,18,1,Outbound,6803,50
1697_TMS1289,35,2,Outbound,1012,31
208_TMS41,7,1,Outbound,4102,9
825_TMS2021,20,1,Outbound,9403,33
1977_TMS441,14,3,Outbound,4403,7
1448_TMS437,14,2,Outbound,4404,7
405_TMS930,10,1,Outbound,6804,4
393_TMS918,10,1,Outbound,6804,4
550_TMS975,13,1,Outbound,6203,12
565_TMS1855,13,1,Inbound,6202,28
1706_TMS1345,35,2,Inbound,1011,23
1175_TMS1604,7,2,Outbound,4102,9
1808_TMS1561,2,3,Inbound,6402,10
1378_TMS518,12,2,Inbound,6003,21
643_TMS1084,15,1,Outbound,6411,47
459_TMS620,11,1,Outbound,9404,5
1682_TMS1274,35,2,Outbound,1011,31
245_TMS69,7,1,Inbound,4104,42
340_TMS154,8,1,Inbound,6204,35
293_TMS108,8,1,Outbound,4402,29
1407_TMS422,13,2,Outbound,4404,12
2152_TMS713,33,3,Inbound,6602,18
1456_TMS2371,14,2,Inbound,4402,17
1919_TMS1784,10,3,Inbound,6001,37
473_TMS166,11,1,Inbound,9405,16
1992_TMS1063,14,3,Inbound,4402,17
1971_TMS1880,13,3,Inbound,4403,28
1534_TMS1145,16,2,Inbound,6602,34
613_TMS201,14,1,Outbound,4403,7
2045_TMS1164,16,3,Inbound,6601,34
670_TMS1911,15,1,Inbound,6401,30
1207_TMS307,7,2,Inbound,4101,42
1085_TMS1437,1,2,Inbound,1202,19
893_TMS1629,28,1,Inbound,4211,11
2140_TMS703,33,3,Outbound,6601,53
953_TMS876,29,1,Inbound,4406,45
1866_TMS339,7,3,Inbound,4101,42
1895_TMS391,8,3,Inbound,4404,35
558_TMS190,13,1,Outbound,4403,12
1702_TMS1294,35,2,Outbound,1011,31
331_TMS145,8,1,Inbound,4407,35
1047_TMS2119,36,1,Outbound,4131,55
852_TMS2046,20,1,Inbound,9405,0
341_TMS155,8,1,Inbound,4401,35
1660_TMS1252,35,2,Outbound,1011,31
795_TMS1199,18,1,Outbound,6801,50
870_TMS2399,21,1,Inbound,9911,65
548_TMS974,13,1,Outbound,6201,12
456_TMS617,11,1,Outbound,9401,5
1607_TMS2060,20,2,Outbound,9401,39
858_TMS1368,21,1,Outbound,9902,49
163_TMS1686,5,1,Outbound,6021,3
1936_TMS1839,12,3,Outbound,6002,25
1058_TMS1365,37,1,Outbound,9901,59
2137_TMS700,33,3,Outbound,6602,53
1429_TMS425,14,2,Outbound,4404,7
1532_TMS1143,16,2,Inbound,6605,34
1282_TMS1763,9,2,Inbound,1201,27
1279_TMS1760,9,2,Inbound,1202,27
200_TMS2124,7,1,Outbound,4112,9
1696_TMS1288,35,2,Outbound,1011,31
155_TMS1673,5,1,Outbound,6002,3
2146_TMS959,33,3,Outbound,6603,53
1162_TMS266,7,2,Outbound,4101,9
1389_TMS411,13,2,Outbound,4401,12
2144_TMS707,33,3,Outbound,6601,53
2174_TMS2116,36,3,Inbound,4131,40
1293_TMS404,10,2,Outbound,6003,4
2170_TMS2111,36,3,Outbound,4131,55
51_TMS1466,2,1,Outbound,4104,1
418_TMS943,10,1,Inbound,6804,37
324_TMS138,8,1,Inbound,6204,35
1221_TMS355,8,2,Outbound,6203,29
1647_TMS2146,29,2,Inbound,4301,45
974_TMS2244,35,1,Outbound,1011,38
282_TMS97,8,1,Outbound,4402,29
817_TMS1219,18,1,Inbound,6803,24
4_TMS1406,1,1,Outbound,1211,6
1006_TMS2182,35,1,Inbound,1011,14
1785_TMS243,2,3,Outbound,1201,1
804_TMS1210,18,1,Inbound,6803,24
22_TMS1414,1,1,Inbound,1211,51
640_TMS1038,14,1,Inbound,4402,17
1916_TMS1781,10,3,Inbound,6001,37
881_TMS1617,28,1,Outbound,4201,13
326_TMS140,8,1,Inbound,4402,35
476_TMS169,11,1,Inbound,9403,16
957_TMS2227,35,1,Outbound,1012,38
594_TMS1016,14,1,Outbound,4407,7
1730_TMS1321,35,2,Inbound,1011,23
1166_TMS270,7,2,Outbound,4101,9
1238_TMS364,8,2,Inbound,4402,35
174_TMS1692,5,1,Inbound,6001,41
1629_TMS1356,23,2,Inbound,9902,2
370_TMS1734,9,1,Inbound,1201,8
1728_TMS1319,35,2,Inbound,1011,23
899_TMS1635,28,1,Inbound,4221,11
1513_TMS559,16,2,Outbound,6604,36
140_TMS1528,2,1,Inbound,4101,10
1320_TMS2284,11,2,Outbound,6604,5
1864_TMS337,7,3,Inbound,4101,42
1546_TMS1157,16,2,Inbound,6604,34
871_TMS1380,21,1,Inbound,9902,65
187_TMS1702,5,1,Inbound,6002,41
655_TMS1086,15,1,Outbound,6422,47
1182_TMS283,7,2,Inbound,4102,42
465_TMS158,11,1,Inbound,9401,16
201_TMS35,7,1,Outbound,4104,9
1342_TMS2306,11,2,Inbound,6603,16
302_TMS117,8,1,Outbound,6204,29
501_TMS1798,12,1,Outbound,6001,25
751_TMS1965,17,1,Outbound,6701,20
1030_TMS2206,35,1,Inbound,1011,14
1927_TMS1830,12,3,Outbound,6002,25
438_TMS599,11,1,Outbound,9404,5
383_TMS908,10,1,Outbound,6812,4
1668_TMS1260,35,2,Outbound,1011,31
1749_TMS1340,35,2,Inbound,1012,23
1990_TMS1061,14,3,Inbound,4404,17
497_TMS1794,12,1,Outbound,6002,44
1909_TMS1774,10,3,Outbound,6003,4
1295_TMS406,10,2,Outbound,6002,4
665_TMS1906,15,1,Inbound,6402,30
1741_TMS1332,35,2,Inbound,1012,23
1738_TMS1329,35,2,Inbound,1011,23
1508_TMS554,16,2,Outbound,6604,36
1792_TMS250,2,3,Outbound,1201,1
1219_TMS354,8,2,Outbound,6201,29
1648_TMS2147,29,2,Inbound,4301,45
290_TMS105,8,1,Outbound,6203,29
1790_TMS248,2,3,Outbound,1201,1
113_TMS1501,2,1,Inbound,6603,10
222_TMS1593,7,1,Outbound,4122,9
378_TMS1739,9,1,Inbound,1202,8
191_TMS1705,5,1,Inbound,6001,41
1049_TMS2100,36,1,Inbound,4131,40
1280_TMS1761,9,2,Inbound,1201,27
902_TMS1638,28,1,Inbound,4221,11
1876_TMS349,7,3,Inbound,4101,42
1186_TMS287,7,2,Inbound,4102,42
137_TMS1525,2,1,Inbound,6605,10
635_TMS1898,14,1,Inbound,4407,17
1160_TMS264,7,2,Outbound,4101,9
735_TMS1119,16,1,Inbound,6605,34
570_TMS987,13,1,Inbound,4403,28
1900_TMS396,8,3,Inbound,4401,35
563_TMS983,13,1,Inbound,4407,28
415_TMS940,10,1,Inbound,6801,37
1256_TMS373,8,2,Inbound,6202,35
1301_TMS495,10,2,Inbound,6002,37
1613_TMS2069,20,2,Inbound,9402,0
1366_TMS506,12,2,Outbound,6003,25
76_TMS17,2,1,Outbound,6602,1
1781_TMS1459,1,3,Inbound,1201,19
905_TMS852,29,1,Outbound,4406,15
1606_TMS2055,20,2,Outbound,9402,39
1975_TMS439,14,3,Outbound,4401,7
1924_TMS1789,10,3,Inbound,6003,37
38_TMS1430,1,1,Inbound,1221,51
1437_TMS2363,14,2,Outbound,6203,7
1492_TMS1936,15,2,Inbound,6401,30
79_TMS1480,2,1,Outbound,4102,1
524_TMS1821,12,1,Inbound,6002,21
1628_TMS621,23,2,Inbound,9901,2
509_TMS1806,12,1,Outbound,6001,44
239_TMS65,7,1,Inbound,4104,42
10_TMS1399,1,1,Outbound,1201,6
1512_TMS558,16,2,Outbound,6603,36
1923_TMS1788,10,3,Inbound,6002,37
1653_TMS2152,29,2,Inbound,4301,45
1164_TMS268,7,2,Outbound,4101,9
1233_TMS361,8,2,Outbound,6201,29
981_TMS2251,35,1,Outbound,1012,38
368_TMS1732,9,1,Inbound,1201,8
1388_TMS410,13,2,Outbound,4404,66
1998_TMS1951,15,3,Outbound,6402,26
889_TMS1625,28,1,Inbound,4211,11
865_TMS1374,21,1,Outbound,9921,49
783_TMS1190,18,1,Outbound,6801,50
2087_TMS2387,18,3,Inbound,6801,24
1861_TMS334,7,3,Inbound,4102,42
636_TMS1899,14,1,Inbound,6201,17
1356_TMS2320,11,2,Inbound,6602,16
87_TMS1484,2,1,Outbound,4102,1
1013_TMS2189,35,1,Inbound,1012,14
1008_TMS2184,35,1,Inbound,1011,14
1550_TMS1161,16,2,Inbound,6603,70
2102_TMS2080,20,3,Inbound,9401,0
1581_TMS1236,18,2,Outbound,6801,50
1298_TMS409,10,2,Outbound,6002,4
2101_TMS2079,20,3,Inbound,9401,0
1204_TMS305,7,2,Inbound,4102,42
693_TMS531,16,1,Outbound,6601,36
1982_TMS446,14,3,Outbound,4404,7
654_TMS1077,15,1,Outbound,6401,47
1402_TMS2340,13,2,Outbound,6203,12
864_TMS2400,21,1,Outbound,9901,49
900_TMS1636,28,1,Inbound,4221,11
34_TMS1426,1,1,Inbound,1221,51
179_TMS1697,5,1,Inbound,6001,41
1355_TMS2319,11,2,Inbound,6601,16
491_TMS184,11,1,Inbound,9404,16
396_TMS921,10,1,Outbound,6802,4
226_TMS55,7,1,Outbound,4102,9
2040_TMS587,16,3,Outbound,6601,36
2159_TMS720,33,3,Inbound,6601,18
1572_TMS2012,17,2,Inbound,6701,32
892_TMS1628,28,1,Inbound,4211,11
1333_TMS2297,11,2,Outbound,6602,5
1857_TMS330,7,3,Inbound,4102,42
533_TMS191,13,1,Outbound,4402,12
773_TMS1987,17,1,Inbound,6701,32
877_TMS1613,28,1,Outbound,4211,13
512_TMS1809,12,1,Outbound,6001,44
518_TMS1815,12,1,Inbound,6012,46
1345_TMS2309,11,2,Inbound,6601,16
575_TMS992,13,1,Inbound,6201,28
578_TMS995,13,1,Inbound,6204,28
975_TMS2245,35,1,Outbound,1012,38
464_TMS157,11,1,Inbound,9405,16
251_TMS75,7,1,Inbound,4102,42
507_TMS1804,12,1,Outbound,6002,44
96_TMS450,2,1,Outbound,6604,1
954_TMS492,29,1,Inbound,4407,45
1929_TMS1832,12,3,Outbound,6001,25
366_TMS1730,9,1,Inbound,1201,8
979_TMS2249,35,1,Outbound,1012,38
866_TMS1376,21,1,Inbound,9902,65
810_TMS1227,18,1,Inbound,6821,43
94_TMS28,2,1,Outbound,6603,1
1438_TMS2364,14,2,Outbound,6204,7
855_TMS2049,20,1,Inbound,9403,0
875_TMS1611,28,1,Outbound,4211,13
1015_TMS2191,35,1,Inbound,1012,14
134_TMS1522,2,1,Inbound,4102,10
231_TMS59,7,1,Outbound,4101,9
1239_TMS890,8,2,Inbound,4403,35
1608_TMS2061,20,2,Inbound,9401,0
128_TMS1516,2,1,Inbound,4103,10
1659_TMS1251,35,2,Outbound,1012,31
956_TMS2226,35,1,Outbound,1011,38
717_TMS1101,16,1,Inbound,6602,34
1242_TMS366,8,2,Inbound,4401,35
431_TMS956,10,1,Inbound,6803,37
1382_TMS522,12,2,Inbound,6001,21
555_TMS970,13,1,Outbound,4404,12
993_TMS2263,35,1,Outbound,1012,38
861_TMS1371,21,1,Outbound,9922,49
1797_TMS1550,2,3,Inbound,6403,10
1833_TMS309,7,3,Outbound,4102,9
1479_TMS1097,15,2,Outbound,6401,47
1852_TMS328,7,3,Outbound,4101,9
1415_TMS2347,13,2,Inbound,4405,28
815_TMS1218,18,1,Inbound,6802,24
205_TMS38,7,1,Outbound,4103,9
723_TMS1107,16,1,Inbound,6603,34
355_TMS1719,9,1,Outbound,1202,48
971_TMS2241,35,1,Outbound,1012,38
1751_TMS1342,35,2,Inbound,1012,23
1586_TMS1240,18,2,Inbound,6801,24
214_TMS47,7,1,Outbound,4104,9
1180_TMS281,7,2,Outbound,4101,9
241_TMS2125,7,1,Inbound,4112,42
1064_TMS2274,37,1,Inbound,9924,61
2147_TMS708,33,3,Inbound,6601,18
65_TMS1473,2,1,Outbound,4103,1
1540_TMS1151,16,2,Inbound,6603,34
189_TMS1703,5,1,Inbound,6001,41
180_TMS1698,5,1,Inbound,6002,41
1432_TMS2358,14,2,Outbound,4402,7
397_TMS922,10,1,Outbound,6804,4
1667_TMS1259,35,2,Outbound,1012,31
441_TMS602,11,1,Outbound,9405,5
59_TMS1470,2,1,Outbound,4104,1
1631_TMS1357,23,2,Inbound,9902,2
829_TMS2024,20,1,Outbound,9405,33
164_TMS1680,5,1,Outbound,6001,3
2027_TMS574,16,3,Outbound,6604,36
