route_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_id
409-140,11OCT-MVS-SUN-Sunday-04,,Puyallup Station,,,a_762056,4090084,0,0,4601127-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,Puyallup Station,,,a_762048,4090084,0,0,4601128-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,Puyallup Station,,,a_762056,4090084,0,0,4601129-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,Puyallup Station,,,a_762048,4090084,0,0,4601130-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,Puyallup Station,,,a_762056,4090084,0,0,4601131-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,Puyallup Station,,,a_762048,4090084,0,0,4601132-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,Puyallup Station,,,a_762056,4090084,0,0,4601133-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,Puyallup Station,,,a_762048,4090084,0,0,4601134-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,72nd St TC,,,a_762048,4090086,0,0,4601135-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,72nd St TC,,,a_762056,4090086,0,0,4601136-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,72nd St TC,,,a_762048,4090086,0,0,4601137-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,72nd St TC,,,a_762056,4090086,0,0,4601138-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,72nd St TC,,,a_762048,4090086,0,0,4601139-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,72nd St TC,,,a_762056,4090086,0,0,4601140-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,72nd St TC,,,a_762048,4090086,0,0,4601141-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,72nd St TC,,,a_762056,4090086,0,0,4601142-11OCT-MVS-SUN-Sunday-04
409-140,11OCT-MVS-SUN-Sunday-04,,72nd St TC,,,a_762048,4090086,0,0,4601143-11OCT-MVS-SUN-Sunday-04
1-140,11OCT-MVS-SUN-Sunday-04,,6th/Pac Ave - 8th Ave-SR7,,,a_762041,10293,0,0,4601144-11OCT-MVS-SUN-Sunday-04
1-140,11OCT-MVS-SUN-Sunday-04,,6th/Pac Ave - 8th Ave-SR7,,,a_762010,10293,0,0,4601145-11OCT-MVS-SUN-Sunday-04
1-140,11OCT-MVS-SUN-Sunday-04,,6th/Pac Ave - 8th Ave-SR7,,,a_762009,10293,0,0,4601146-11OCT-MVS-SUN-Sunday-04
1-140,11OCT-MVS-SUN-Sunday-04,,6th/Pac Ave - 8th Ave-SR7,,,a_762040,10293,0,0,4601147-11OCT-MVS-SUN-Sunday-04
1-140,11OCT-MVS-SUN-Sunday-04,,6th/Pac Ave - 8th Ave-SR7,,,a_762041,10293,0,0,4601148-11OCT-MVS-SUN-Sunday-04
1-140,11OCT-MVS-SUN-Sunday-04,,6th/Pac Ave - 8th Ave-SR7,,,a_762039,10293,0,0,4601149-11OCT-MVS-SUN-Sunday-04
1-140,11OCT-MVS-SUN-Sunday-04,,6th/Pac Ave - 8th Ave-SR7,,,a_762010,10293,0,0,4601150-11OCT-MVS-SUN-Sunday-04
