stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
10,,100th / 59th,,47.166622,-122.515083,,,0,,0,
1002,,13th / Court C,,47.251106,-122.44043,,,0,,0,
1008,,96th / Front,,47.170219,-122.474815,,,0,,0,
1009,,Main / Inter,,47.193062,-122.254753,,,0,,0,
101,,112th / 26th,,47.155769,-122.472305,,,0,,0,
1010,,G / Wright,,47.230217,-122.441093,,,0,,0,
1011,,Main / 4th,,47.192776,-122.255424,,,0,,0,
1012,,G / 35th,,47.228336,-122.440697,,,0,,0,
1013,,G / 35th,,47.228165,-122.440796,,,0,,0,
1015,,G / 37th,,47.224838,-122.440598,,,0,,0,
1017,,G / 38th,,47.223267,-122.440605,,,0,,0,
1018,,G /38th,,47.223175,-122.440742,,,0,,0,
102,,112th / 8th,,47.155521,-122.445122,,,0,,0,
103,,112th / 8th,,47.155411,-122.444588,,,0,,0,
104,,112th / Ainsworth,,47.155651,-122.455475,,,0,,0,
1040,,Grandview / 29th,,47.233685,-122.550301,,,0,,0,
1041,,Grandview / 29th,,47.233578,-122.550453,,,0,,0,
1042,,Grandview / 31st,,47.231819,-122.550316,,,0,,0,
1043,,Grandview / 31st,,47.231354,-122.550468,,,0,,0,
1044,,Grandview / 33rd,,47.230015,-122.550316,,,0,,0,
1045,,Grandview / 33rd,,47.229656,-122.550468,,,0,,0,
1046,,Grandview / 35th,,47.228336,-122.550331,,,0,,0,
1047,,Grandview / 35th,,47.228218,-122.550484,,,0,,0,
1048,,Grandview / 37th,,47.224274,-122.553589,,,0,,0,
1049,,Grandview / 37th,,47.225113,-122.552368,,,0,,0,
105,,112th / Ainsworth,,47.15554,-122.45504,,,0,,0,
1058,,Grandview / Tahoma,,47.222672,-122.556602,,,0,,0,
1059,,Gravelly Lake / School,,47.158115,-122.520668,,,0,,0,
106,,112th / 18th,,47.155689,-122.460632,,,0,,0,
1060,,Gravelly Lake / Lake Steilacoom,,47.152573,-122.535172,,,0,,0,
1061,,Gravelly Lake / 115th St Ct,,47.153515,-122.53167,,,0,,0,
1062,,Gravelly Lake / 59th,,47.174435,-122.514626,,,0,,0,
1063,,Gravelly Lake / Steilacoom,,47.175785,-122.510582,,,0,,0,
1064,,Gravelly Lake / Alfaretta,,47.164707,-122.520752,,,0,,0,
1066,,Gravelly Lake / Main,,47.161976,-122.520554,,,0,,0,
1067,,Gravelly Lake / Main,,47.162621,-122.520714,,,0,,0,
1068,,Gravelly Lake / Avondale,,47.16375,-122.520592,,,0,,0,
107,,112th / 18th,,47.155586,-122.460518,,,0,,0,
1070,,Gravelly Lake / Lake,,47.159603,-122.520546,,,0,,0,
1071,,Gravelly Lake / Lake,,47.159485,-122.520706,,,0,,0,
1072,,Gravelly Lake / Lake Grove,,47.168629,-122.520134,,,0,,0,
1073,,Gravelly Lake / Lake Grove,,47.168221,-122.520416,,,0,,0,
1074,,Gravelly Lake / Lake Steilacoom,,47.152561,-122.535622,,,0,,0,
1075,,Gravelly Lake / Mt Tacoma,,47.170429,-122.519516,,,0,,0,
1076,,Gravelly Lake / Mt Tacoma,,47.170559,-122.5196,,,0,,0,
1077,,Gravelly Lake / Nyanza,,47.155811,-122.525276,,,0,,0,
1079,,Gravelly Lake / School,,47.157753,-122.520515,,,0,,0,
108,,112th / Steele,,47.155792,-122.465088,,,0,,0,
1081,,Gravelly Lake / Steilacoom,,47.175694,-122.511086,,,0,,0,
1082,,Gravelly Lake / Tower,,47.149651,-122.538986,,,0,,0,
1083,,Gravelly Lake / Tower,,47.1506,-122.538658,,,0,,0,
1086,,Harborview / Dorotich,,47.33255,-122.584518,,,0,,0,
1087,,Harborview / Dorotich,,47.332382,-122.584435,,,0,,0,
1089,,Harborview / N Harborview,,47.336884,-122.593925,,,0,,0,
109,,112th / 26th,,47.155876,-122.471985,,,0,,0,
1090,,Harborview / Peacock,,47.339493,-122.589462,,,0,,0,
1091,,Harborview / Peacock,,47.339447,-122.589737,,,0,,0,
1092,,Harborview / Rosedale,,47.330669,-122.58197,,,0,,0,
1093,,Harborview / Rosedale,,47.330627,-122.582115,,,0,,0,
1094,,Harborview / Stinson,,47.333939,-122.589218,,,0,,0,
1095,,Harborview / Stinson,,47.333504,-122.587563,,,0,,0,
1096,,Highlands / Augusta,,47.264729,-122.523766,,,0,,0,
1097,,Highlands / Belair,,47.264957,-122.524361,,,0,,0,
1098,,Highlands / Newton,,47.26194,-122.522514,,,0,,0,
1099,,Highlands / Newton,,47.261719,-122.522308,,,0,,0,
11,,100th / Bridgeport,,47.166664,-122.511093,,,0,,0,
110,,112th / Willow Park Apts,,47.155678,-122.464806,,,0,,0,
1100,,Highlands / Pearl,,47.263329,-122.516502,,,0,,0,
1101,,Highlands / Pearl,,47.263233,-122.516136,,,0,,0,
1102,,Highlands / Lutheran Home,,47.262188,-122.519905,,,0,,0,
1103,,Highlands / Westgate,,47.265526,-122.524635,,,0,,0,
1106,,28th / 362nd,,47.276012,-122.297653,,,0,,0,
1109,,28th / 362nd,,47.276505,-122.297783,,,0,,0,
111,,112th / Park,,47.155338,-122.438873,,,0,,0,
1112,,8711 Hosmer,,47.178204,-122.463097,,,0,,0,
1113,,8614 Hosmer (Denny's),,47.178551,-122.463249,,,0,,0,
1114,,Hosmer / 72nd,,47.191563,-122.459702,,,0,,0,
1115,,Hosmer / 74th,,47.190048,-122.460274,,,0,,0,
1116,,Hosmer / 76th,,47.188404,-122.462051,,,0,,0,
1117,,Hosmer / 76th,,47.188381,-122.462219,,,0,,0,
1118,,Hosmer / 78th,,47.18679,-122.462753,,,0,,0,
1119,,Hosmer / 78th,,47.185986,-122.463158,,,0,,0,
112,,112th / Park,,47.155453,-122.439964,,,0,,0,
1120,,Hosmer / 80th,,47.184437,-122.463318,,,0,,0,
1123,,Hosmer / 84th,,47.180386,-122.463158,,,0,,0,
1124,,Hosmer / 84th,,47.180706,-122.463348,,,0,,0,
1125,,Hosmer / 90th,,47.175728,-122.463066,,,0,,0,
1126,,Hosmer / 90th,,47.175705,-122.463219,,,0,,0,
1127,,Hosmer / 92nd,,47.173641,-122.463051,,,0,,0,
1128,,Hosmer / 92nd,,47.17382,-122.463196,,,0,,0,
1129,,96th / Hosmer,,47.17009,-122.462479,,,0,,0,
113,,112th / Steele,,47.155895,-122.469093,,,0,,0,
1130,,Howell / Minor,,47.616951,-122.330307,,,0,,0,
1131,,Hunt / Kimball,,47.316151,-122.584259,,,0,,0,
