trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,route_short_name,pickup_type,drop_off_type,shape_dist_traveled
12FEB-Saturday-101n-0,0,1007,06:53:00,06:53:00,,,0,0,
12FEB-Saturday-101n-0,1,997,,,,,0,0,
12FEB-Saturday-101n-0,2,1006,,,,,0,0,
12FEB-Saturday-101n-0,3,1018,,,,,0,0,
12FEB-Saturday-101n-0,4,1005,,,,,0,0,
12FEB-Saturday-101n-0,5,1004,,,,,0,0,
12FEB-Saturday-101n-0,6,1003,,,,,0,0,
12FEB-Saturday-101n-0,7,1002,,,,,0,0,
12FEB-Saturday-101n-0,8,1001,,,,,0,0,
12FEB-Saturday-101n-0,9,998,,,,,0,0,
12FEB-Saturday-101n-0,10,1000,07:00:00,07:00:00,,,0,0,
12FEB-Saturday-101n-0,11,1020,,,,,0,0,
12FEB-Saturday-101n-0,12,1021,,,,,0,0,
12FEB-Saturday-101n-0,13,1024,,,,,0,0,
12FEB-Saturday-101n-0,14,1301,07:04:00,07:04:00,,,0,0,
12FEB-Saturday-101n-0,15,1299,,,,,0,0,
12FEB-Saturday-101n-0,16,168,,,,,0,0,
12FEB-Saturday-101n-0,17,167,,,,,0,0,
12FEB-Saturday-101n-0,18,2105,07:09:00,07:09:00,,,0,0,
12FEB-Saturday-101n-1,0,1007,07:53:00,07:53:00,,,0,0,
12FEB-Saturday-101n-1,1,997,,,,,0,0,
12FEB-Saturday-101n-1,2,1006,,,,,0,0,
12FEB-Saturday-101n-1,3,1018,,,,,0,0,
12FEB-Saturday-101n-1,4,1005,,,,,0,0,
12FEB-Saturday-101n-1,5,1004,,,,,0,0,
12FEB-Saturday-101n-1,6,1003,,,,,0,0,
12FEB-Saturday-101n-1,7,1002,,,,,0,0,
12FEB-Saturday-101n-1,8,1001,,,,,0,0,
12FEB-Saturday-101n-1,9,998,,,,,0,0,
12FEB-Saturday-101n-1,10,1000,08:00:00,08:00:00,,,0,0,
12FEB-Saturday-101n-1,11,1020,,,,,0,0,
12FEB-Saturday-101n-1,12,1021,,,,,0,0,
12FEB-Saturday-101n-1,13,1024,,,,,0,0,
12FEB-Saturday-101n-1,14,1301,08:04:00,08:04:00,,,0,0,
12FEB-Saturday-101n-1,15,1299,,,,,0,0,
12FEB-Saturday-101n-1,16,168,,,,,0,0,
12FEB-Saturday-101n-1,17,167,,,,,0,0,
12FEB-Saturday-101n-1,18,2105,08:10:00,08:10:00,,,0,0,
12FEB-Saturday-101n-10,0,1007,16:57:00,16:57:00,,,0,0,
12FEB-Saturday-101n-10,1,997,,,,,0,0,
12FEB-Saturday-101n-10,2,1006,,,,,0,0,
12FEB-Saturday-101n-10,3,1018,,,,,0,0,
12FEB-Saturday-101n-10,4,1005,,,,,0,0,
12FEB-Saturday-101n-10,5,1004,,,,,0,0,
12FEB-Saturday-101n-10,6,1003,,,,,0,0,
12FEB-Saturday-101n-10,7,1002,,,,,0,0,
12FEB-Saturday-101n-10,8,1001,,,,,0,0,
12FEB-Saturday-101n-10,9,998,,,,,0,0,
12FEB-Saturday-101n-10,10,1000,17:07:00,17:07:00,,,0,0,
12FEB-Saturday-101n-10,11,1020,,,,,0,0,
12FEB-Saturday-101n-10,12,1021,,,,,0,0,
12FEB-Saturday-101n-10,13,1024,,,,,0,0,
12FEB-Saturday-101n-10,14,1301,17:11:00,17:11:00,,,0,0,
12FEB-Saturday-101n-10,15,1299,,,,,0,0,
