route_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_id
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-0
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-1
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-10
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-11
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-12
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-13
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-14
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-15
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-2
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-3
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-4
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-5
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-6
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-7
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-8
101,12FEB-Saturday,,Mariner Park & Ride,,0,,101-nb-Saturday,0,12FEB-Saturday-101n-9
101,12FEB-Saturday,,Aurora Village Transit Center,,0,,101-sb-Saturday,0,12FEB-Saturday-101s-0
101,12FEB-Saturday,,Aurora Village Transit Center,,0,,101-sb-Saturday,0,12FEB-Saturday-101s-1
101,12FEB-Saturday,,Aurora Village Transit Center,,0,,101-sb-Saturday,0,12FEB-Saturday-101s-10
101,12FEB-Saturday,,Aurora Village Transit Center,,0,,101-sb-Saturday,0,12FEB-Saturday-101s-11
101,12FEB-Saturday,,Aurora Village Transit Center,,0,,101-sb-Saturday,0,12FEB-Saturday-101s-12
101,12FEB-Saturday,,Aurora Village Transit Center,,0,,101-sb-Saturday,0,12FEB-Saturday-101s-13
101,12FEB-Saturday,,Aurora Village Transit Center,,0,,101-sb-Saturday,0,12FEB-Saturday-101s-14
101,12FEB-Saturday,,Aurora Village Transit Center,,0,,101-sb-Saturday,0,12FEB-Saturday-101s-15
101,12FEB-Saturday,,Aurora Village Transit Center,,0,,101-sb-Saturday,0,12FEB-Saturday-101s-2
101,12FEB-Saturday,,Aurora Village Transit Center,,0,,101-sb-Saturday,0,12FEB-Saturday-101s-3
101,12FEB-Saturday,,Aurora Village Transit Center,,0,,101-sb-Saturday,0,12FEB-Saturday-101s-4
101,12FEB-Saturday,,Aurora Village Transit Center,,0,,101-sb-Saturday,0,12FEB-Saturday-101s-5
101,12FEB-Saturday,,Aurora Village Transit Center,,0,,101-sb-Saturday,0,12FEB-Saturday-101s-6
101,12FEB-Saturday,,Aurora Village Transit Center,,0,,101-sb-Saturday,0,12FEB-Saturday-101s-7
