trip_id,start_time,end_time,headway_secs,exact_times,label_only
19364519,04:15:00,06:59:59,900,0,2
19364444,07:00:00,08:59:59,600,0,2
19364542,09:00:00,13:59:59,900,0,2
19364562,14:00:00,17:59:59,600,0,2
19364583,18:00:00,21:59:59,900,0,2
19364433,04:15:00,06:59:59,900,0,2
19364529,07:00:00,08:59:59,600,0,2
19364455,09:00:00,13:59:59,900,0,2
19364475,14:00:00,17:59:59,600,0,2
19364497,18:00:00,21:59:59,900,0,2
19371387,04:15:00,04:44:59,1800,0,2
19371388,04:45:00,21:59:59,900,0,2
19368764,04:15:00,04:44:59,1800,0,2
19368765,04:45:00,21:59:59,900,0,2
19371428,04:15:00,04:44:59,1800,0,2
19368842,04:15:00,04:44:59,1800,0,2
19371429,04:45:00,21:59:59,900,0,2
15043698,05:00:00,05:59:59,900,0,2
19368843,04:45:00,21:59:59,900,0,2
15043710,08:30:00,14:59:59,600,0,2
15043701,06:00:00,08:29:59,450,0,2
15043774,18:30:00,21:59:59,600,0,2
15043760,15:00:00,18:29:59,450,0,2
15043574,05:00:00,05:59:59,900,0,2
15043808,22:00:00,25:00:00,900,0,2
15043597,08:30:00,14:59:59,600,0,2
15043577,06:00:00,08:29:59,450,0,2
15043664,18:30:00,21:59:59,600,0,2
15043636,15:00:00,18:29:59,450,0,2
15043089,05:00:00,07:59:59,900,0,2
15043683,22:00:00,25:00:00,900,0,2
15043193,05:00:00,07:59:59,900,0,2
15043204,08:00:00,21:59:59,600,0,2
15043100,08:00:00,21:59:59,600,0,2
15043185,22:00:00,25:00:00,900,0,2
15043445,08:00:00,21:59:59,600,0,2
15043529,22:00:00,24:00:00,900,0,2
15043288,22:00:00,25:00:00,900,0,2
15043438,06:00:00,07:59:59,900,0,2
15043433,22:00:00,24:00:00,900,0,2
19063598,06:00:00,21:59:59,900,0,2
15043340,06:00:00,07:59:59,900,0,2
15043349,08:00:00,21:59:59,600,0,2
19063569,22:00:00,23:59:59,1800,0,2
19064522,06:00:00,21:59:59,900,0,2
19063668,22:00:00,23:59:59,1800,0,2
19063655,06:00:00,21:59:59,900,0,2
19064494,22:00:00,23:59:59,1800,0,2
19064579,06:00:00,21:59:59,900,0,2
19064520,22:00:00,23:59:59,1800,0,2
19915874,18:00:00,19:59:59,900,0,2
19915866,15:00:00,17:59:59,600,0,2
19915842,09:00:00,14:59:59,900,0,2
19916064,06:00:00,08:59:59,600,0,2
19915783,09:00:00,14:59:59,900,0,2
19915779,06:00:00,08:59:59,600,0,2
19915888,20:00:00,22:00:00,1800,0,2
19915800,20:00:00,22:00:00,1800,0,2
19915799,18:00:00,19:59:59,900,0,2
19915795,15:00:00,17:59:59,600,0,2
