agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_bikes_allowed,route_id
EOS,98,,South Lake Union Streetcar,0,,,,0,100340
KCM,1,,kinnear,3,,,,0,100001
KCM,10,,capitol hill,3,,,,0,100002
KCM,101,,Renton Transit Center to CBD,3,,,,0,100003
KCM,105,,Renton Hub - Renton Highlands,3,,,,0,100004
KCM,106,,Renton-Downtown Seattle,3,,,,0,100005
KCM,107,,Rainier Beach/Renton Shuttle,3,,,,0,100006
KCM,11,,Madison,3,,,,0,100009
KCM,110,,Renton Shuttle,3,,,,0,100010
KCM,111,,East Renton to C.B.D. Via I-405 & I-90,3,,,,0,100011
KCM,113,,Shorewood  White Center  CBD via SR509,3,,,,0,100012
KCM,114,,Renton Highlands to C.D.B. Via I-405 & I-90,3,,,,0,100013
KCM,116,,Fauntleroy Ferry Dock ONLY,3,,,,0,100014
KCM,118,,Vashon Is--Tahlequah/Burton,3,,,,0,100016
KCM,119,,Dockton,3,,,,0,100017
KCM,12,,interlaken park,3,,,,0,100018
KCM,120,,Burien to Seattle via Ambaum & Delridge,3,,,,0,100019
KCM,121,,Normandy Park express,3,,,,0,100020
KCM,122,,Des moines express,3,,,,0,100021
KCM,123,,Gregory Heights express,3,,,,0,100022
KCM,124,,Tukwila - E Marginal - CBD,3,,,,0,100023
KCM,125,,Shorewood to CBD via SSCC,3,,,,0,100024
KCM,128,,West Seattle-White Center to SouthCenter,3,,,,0,100026
KCM,129,,North Sea Tac/ Riverton Heights,3,,,,0,100027
KCM,13,,seattle pacific university,3,,,,0,100028
KCM,131,,Normandy Park,3,,,,0,100030
KCM,132,,Des Moines,3,,,,0,100031
KCM,133,,Burien/White Center/UW,3,,,,0,100032
KCM,134,,Downtown to Burien viaPark Lake,3,,,,0,100033
KCM,139,,Burien/Gregory Heights Shuttle,3,,,,0,100038
KCM,14,,Route 14,3,,,,0,100039
KCM,140,,Renton to Burien,3,,,,0,100040
KCM,143,,Maple Valley & Renton to C.B.D. Via Sr 900 & I-5,3,,,,0,100041
KCM,148,,Fairwood--S.Renton Hub Shuttle.,3,,,,0,100042
KCM,15,,Blue Ridge/Downtown,3,,,,0,100044
KCM,150,,Kent-Southcenter to C.B.D. & Tunnel,3,,,,0,100045
KCM,152,,Enumclaw-Auburn-Star Lk. I-5 to C.B.D.,3,,,,0,100047
KCM,153,,Kent/Renton Shuttle,3,,,,0,100048
KCM,154,,Tukwila Station  - Federal Center S.,3,,,,0,100049
KCM,155,,FAIRWOOD TO SOUTHCENTER,3,,,,0,100050
KCM,158,,E. Kent--Lk. Meridian Via I-5 & Seneca St. -C.B.D.,3,,,,0,100051
KCM,159,,Kent-Kangley-Timberlane--I-5-Seneca St.,3,,,,0,100052
KCM,16,,Meridian,3,,,,0,100053
KCM,162,,S.Hill Kent- I-5 - Seneca St.,3,,,,0,100055
KCM,164,,GGreen River Coll-Kent P&R Via Lk. Meridian P&R,3,,,,0,100057
KCM,166,,Highline C C to Kent P&R,3,,,,0,100058
KCM,167,,Auburn-Kent-Renton-Univ Dist,3,,,,0,100059
KCM,168,,Timberlane - Kent Rail Station,3,,,,0,100060
KCM,169,,Renton to Kent Via Benson,3,,,,0,100061
KCM,17,,Sunset Hill,3,,,,0,100062
KCM,173,,Federal Way to E Marginal Wy & Boeing,3,,,,0,100064
KCM,175,,Dash Pt. Federal wy Via I-5 to Tunnel,3,,,,0,100066
KCM,177,,Federal Way P&R Via I-5 --Tunnel,3,,,,0,100068
KCM,179,,Twin Lakes P&R - Downtown,3,,,,0,100070
