stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
10000,,NE 55TH ST & 43RD AVE NE,,47.6685753,-122.283653,21,,0,,0,
10005,,40TH AVE NE & NE 51ST ST,,47.6658859,-122.284897,21,,0,,0,
10010,,NE 55TH ST & 39TH AVE NE,,47.6685829,-122.28566,21,,0,,0,
10020,,NE 55TH ST & 37TH AVE NE,,47.6685829,-122.2883,21,,0,,0,
10030,,NE 55TH ST & 35TH AVE NE,,47.6685829,-122.290512,21,,0,,0,
10040,,NE 55TH ST & 33RD AVE NE,,47.6685905,-122.293007,21,,0,,0,
10050,,NE 55TH ST & 30TH AVE NE,,47.6685905,-122.295441,21,,0,,0,
10060,,NE 55TH ST & 27TH AVE NE,,47.6685905,-122.298859,21,,0,,0,
10070,,NE 55TH ST & 25TH AVE NE,,47.6685944,-122.300987,21,,0,,0,
10083,,RAVENNA AVE NE & RAVENNA PL NE,,47.6684761,-122.303787,21,,0,,0,
10100,,NE RAVENNA BLVD & PARK RD NE,,47.6695671,-122.305412,21,,0,,0,
10110,,20TH AVE NE & NE 55TH ST,,47.6682739,-122.306587,21,,0,,0,
10120,,20TH AVE NE & NE 52ND ST,,47.6662827,-122.306602,21,,0,,0,
10130,,NE 50TH ST & 19TH AVE NE,,47.6649323,-122.307106,21,,0,,0,
10145,,NE 50TH ST & 16TH AVE NE,,47.6649551,-122.311165,21,,0,,0,
10170,,FAIRVIEW AVE E & E NELSON PL,,47.6306038,-122.328636,21,,0,,0,
10180,,FAIRVIEW AVE N & YALE AVE N,,47.6283493,-122.33152,21,,0,,0,
10190,,FAIRVIEW AVE N & MINOR AVE N,,47.627224,-122.332939,21,,0,,0,
1020,,HOWELL ST & YALE AVE,,47.61763,-122.329414,21,,0,,0,
10210,,FAIRVIEW AVE N & MERCER ST,,47.6239929,-122.334427,21,,0,,0,
10220,,FAIRVIEW AVE N & HARRISON ST,,47.6217766,-122.334427,21,,0,,0,
10230,,FAIRVIEW AVE N & JOHN ST,,47.6197701,-122.334404,21,,0,,0,
10240,,BOREN AVE & VIRGINIA ST,,47.6175041,-122.333817,21,,0,,0,
10280,,FAIRVIEW AVE & DENNY WAY,,47.6184235,-122.334198,21,,0,,0,
1030,,OLIVE WAY & 4TH AVE,,47.6120911,-122.33857,1,,0,,0,
10305,,FAIRVIEW AVE N & HARRISON ST,,47.6222801,-122.334236,21,,0,,0,
10325,,FAIRVIEW AVE N & VALLEY ST,,47.6265526,-122.333542,21,,0,,0,
10340,,FAIRVIEW AVE N & YALE AVE N,,47.6288795,-122.330589,21,,0,,0,
10350,,FAIRVIEW AVE E & YALE AVE N,,47.6304703,-122.328545,21,,0,,0,
10370,,NE 50TH ST & UNIVERSITY WAY NE,,47.6648331,-122.312653,21,,0,,0,
10380,,NE 50TH ST & 16TH AVE NE,,47.6648178,-122.310425,21,,0,,0,
1040,,OLIVE WAY & 6TH AVE,,47.6130295,-122.336327,1,,0,,0,
10400,,20TH AVE NE & NE 50TH ST,,47.66502,-122.306412,21,,0,,0,
10410,,20TH AVE NE & NE 52ND ST,,47.6666412,-122.306396,21,,0,,0,
10420,,20TH AVE NE & NE 54TH ST,,47.6681709,-122.306381,21,,0,,0,
10430,,NE RAVENNA BLVD & 21ST AVE NE,,47.6692772,-122.305481,21,,0,,0,
10445,,RAVENNA AVE NE & NE 54TH ST,,47.6680031,-122.303955,21,,0,,0,
10460,,NE 55TH ST & 25TH AVE NE,,47.668457,-122.300209,21,,0,,0,
10470,,NE 55TH ST & 27TH AVE NE,,47.668457,-122.298218,21,,0,,0,
10480,,NE 55TH ST & 30TH AVE NE,,47.6684532,-122.295074,21,,0,,0,
10490,,NE 55TH ST & 33RD AVE NE,,47.6684456,-122.292328,21,,0,,0,
1050,,OLIVE WAY & 8TH AVE,,47.6139336,-122.334167,21,,0,,0,
10500,,NE 55TH ST & 35TH AVE NE,,47.6684418,-122.290398,21,,0,,0,
10504,,I-405 RAMP & NE 195TH ST,,47.7676544,-122.190025,19,,0,,0,
10510,,NE 55TH ST & 36TH AVE NE,,47.6684456,-122.288803,21,,0,,0,
10515,,40TH AVE NE & NE 50TH ST,,47.6650887,-122.284691,21,,0,,0,
10550,,NE 55TH ST & 45TH AVE NE,,47.6689453,-122.27951,21,,0,,0,
10560,,NE 55TH ST & PRINCETON AVE NE,,47.6691818,-122.275909,21,,0,,0,
10561,,SAND PT WAY NE & 38TH AVE NE,,47.6615753,-122.286484,21,,0,,0,
10562,,SAND PT WAY NE & 40TH AVE NE,,47.6634483,-122.284119,21,,0,,0,
10564,,SAND PT WAY NE & NE 50TH ST,,47.6646576,-122.28286,21,,0,,0,
10566,,SAND PT WAY NE & NE 52ND ST,,47.6666527,-122.2808,21,,0,,0,
10568,,SAND PT WAY NE & PRINCETON AVE NE,,47.6682014,-122.275978,21,,0,,0,
10570,,SAND PT WAY NE & NE 55TH ST,,47.6683311,-122.273598,21,,0,,0,
10580,,SAND PT WAY NE & NE WINDERMERE RD,,47.6700287,-122.270813,21,,0,,0,
10600,,SAND PT WAY NE & NE 61ST ST,,47.6729889,-122.266663,21,,0,,0,
10620,,SAND PT WAY NE & NE 65TH ST,,47.675972,-122.263451,21,,0,,0,
10630,,SAND PT WAY NE & NE 70TH ST,,47.6794319,-122.263519,21,,0,,0,
10640,,SAND PT WAY NE & NE 74TH ST,,47.6817513,-122.263557,21,,0,,0,
10650,,SAND PT WAY NE & NE 77TH ST,,47.6850014,-122.264458,21,,0,,0,
10653,,NOAA - BLDG 1,,47.6865425,-122.257355,21,,0,,0,
10654,,NE NOAA DR & NOAA ACS,,47.6860886,-122.259827,21,,0,,0,
10657,,NE NOAA DR & GUARD SHACK,,47.6860771,-122.2593,21,,0,,0,
10658,,NOAA - BLDG 3,,47.6859894,-122.255554,21,,0,,0,
10680,,SAND PT WAY NE & INVERNESS DR NE,,47.6927605,-122.270775,21,,0,,0,
1070,,OLIVE WAY & TERRY AVE,,47.6149101,-122.331848,21,,0,,0,
10700,,SAND PT WAY NE & MATTHEWS PL NE,,47.6945229,-122.275169,21,,0,,0,
10710,,SAND PT WAY NE & NE 93RD ST,,47.6961479,-122.276566,21,,0,,0,
10720,,SAND PT WAY NE & NE 95TH ST,,47.6973534,-122.277519,21,,0,,0,
10730,,SAND PT WAY NE & NE 97TH ST,,47.6990967,-122.277626,21,,0,,0,
10750,,SAND PT WAY NE & NE 103RD ST,,47.7030869,-122.277557,21,,0,,0,
10760,,SAND PT WAY NE & NE 106TH ST,,47.70504,-122.27816,21,,0,,0,
10780,,SAND PT WAY NE & NE 110TH ST,,47.7092285,-122.280228,21,,0,,0,
10800,,SAND PT WAY NE & NE 115TH ST,,47.712616,-122.281837,21,,0,,0,
1082,,Convention Place Station - Bay I,,47.6141167,-122.331726,21,,0,,0,
10820,,SAND PT WAY NE & NE 120TH ST,,47.7160149,-122.282997,21,,0,,0,
1083,,Convention Place Station - Bay C,,47.6142159,-122.331795,21,,0,,0,
10830,,SAND PT WAY NE & NE 123RD ST,,47.717598,-122.283943,21,,0,,0,
1084,,Convention Place Station - Bay D,,47.6142807,-122.331863,21,,0,,0,
10840,,SAND PT WAY NE & NE 125TH ST,,47.7192345,-122.285782,21,,0,,0,
1085,,PINE ST & 9TH AVE,,47.6133766,-122.332596,21,,0,,0,
1086,,Convention Place Station - Bay E,,47.6142807,-122.331902,21,,0,,0,
10860,,NE 125TH ST & 35TH AVE NE,,47.719326,-122.291275,21,,0,,0,
10870,,NE 125TH ST & 33RD AVE NE,,47.7193375,-122.293205,21,,0,,0,
10907,,NE 47TH ST & 11TH AVE NE,,47.6630402,-122.316055,21,,0,,0,
10908,,12TH AVE NE & NE 45TH ST,,47.6618347,-122.315521,21,,0,,0,
10910,,12TH AVE NE & NE 47TH ST,,47.6626816,-122.315384,21,,0,,0,
10911,,NE 45TH ST & UNIVERSITY WAY NE,,47.6612053,-122.313477,21,,0,,0,
10912,,15TH AVE NE & NE 43RD ST,,47.6593666,-122.312096,21,,0,,0,
10914,,15TH AVE NE & NE CAMPUS PKWY,,47.6564255,-122.312164,21,,0,,0,
10915,,HARVARD AVE E & EASTLAKE AVE E,,47.6502457,-122.321999,21,,0,,0,
10916,,HARVARD AVE E & EASTLAKE AVE E,,47.6501656,-122.322205,21,,0,,0,
10917,,15TH AVE NE & NE 40TH ST,,47.655056,-122.312202,21,,0,,0,
10920,,HARVARD AVE E & E SHELBY ST,,47.646759,-122.322205,21,,0,,0,
10940,,10TH AVE E & E ROANOKE ST,,47.6429367,-122.320152,21,,0,,0,
10950,,10TH AVE E & E MILLER ST,,47.6411667,-122.320168,21,,0,,0,
10970,,10TH AVE E & E NEWTON ST,,47.6370277,-122.320183,21,,0,,0,
10990,,10TH AVE E & E GALER ST,,47.6321259,-122.320305,21,,0,,0,
11010,,10TH AVE E & E PROSPECT ST,,47.6287346,-122.32032,21,,0,,0,
11011,,BROADWAY AVE E & E ROY ST,,47.625248,-122.321114,21,,0,,0,
11012,,E ALOHA ST & BROADWAY AVE E,,47.6267662,-122.320961,21,,0,,0,
11025,,BOREN AVE & JEFFERSON ST,,47.6060677,-122.322021,21,,0,,0,
11030,,E ROY ST & BROADWAY AVE E,,47.6251945,-122.320824,21,,0,,0,
11033,,BOREN AVE & COLUMBIA ST,,47.6082306,-122.324005,21,,0,,0,
11035,,BOREN AVE & MADISON ST,,47.6095848,-122.325249,21,,0,,0,
11040,,BROADWAY AVE E & E REPUBLICAN ST,,47.6228905,-122.32103,21,,0,,0,
11045,,BOREN AVE & SENECA ST,,47.6110191,-122.326561,21,,0,,0,
11050,,BROADWAY AVE E & E THOMAS ST,,47.6208115,-122.320984,21,,0,,0,
11055,,BOREN AVE & PIKE ST,,47.6138268,-122.329132,21,,0,,0,
11060,,BROADWAY AVE & E DENNY WAY,,47.6185341,-122.320961,21,,0,,0,
11065,,BOREN AVE & PIKE ST,,47.6135445,-122.329102,21,,0,,0,
11070,,BROADWAY AVE & E PINE ST,,47.6162567,-122.320915,21,,0,,0,
11075,,BOREN AVE & SENECA ST,,47.6105118,-122.326324,21,,0,,0,
1108,,Westlake Station - Bay C,,47.6113968,-122.337502,1,,0,,0,
11080,,E PINE ST & BROADWAY AVE,,47.615303,-122.321495,21,,0,,0,
11085,,BOREN AVE & MADISON ST,,47.6090851,-122.325027,21,,0,,0,
11087,,BOREN AVE & COLUMBIA ST,,47.6075935,-122.323662,21,,0,,0,
1109,,Westlake Station - Bay D,,47.6117249,-122.336708,1,,0,,0,
11090,,E PINE ST & BELMONT AVE,,47.6152954,-122.324768,21,,0,,0,
11095,,BOREN AVE & JAMES ST,,47.6062202,-122.322411,21,,0,,0,
1110,,PINE ST & 5TH AVE,,47.6117706,-122.336449,1,,0,,0,
11100,,E PINE ST & BELLEVUE AVE,,47.6152992,-122.327271,21,,0,,0,
1111,,Pine Street Island & 3rd Ave,,47.6108475,-122.338554,1,,0,,0,
11130,,PIKE ST & CONVENTION PL,,47.612381,-122.331329,1,,0,,0,
11132,,PIKE ST & BOREN AVE,,47.6135826,-122.328445,21,,0,,0,
11140,,E PINE ST & SUMMIT AVE,,47.6151581,-122.325249,21,,0,,0,
11150,,E PINE ST & BROADWAY,,47.6151581,-122.321617,21,,0,,0,
11160,,BROADWAY AVE & E PINE ST,,47.6166954,-122.320724,21,,0,,0,
11170,,BROADWAY AVE & E HOWELL ST,,47.6178894,-122.32074,21,,0,,0,
11180,,BROADWAY AVE E & E JOHN ST,,47.6201553,-122.320786,21,,0,,0,
11190,,BROADWAY AVE E & E HARRISON ST,,47.6221962,-122.320808,21,,0,,0,
1120,,PINE ST & 4TH AVE,,47.6111069,-122.33802,1,,0,,0,
11200,,BROADWAY AVE E & E MERCER ST,,47.6246109,-122.320839,21,,0,,0,
1121,,Westlake Station - Bay A,,47.6118011,-122.335823,1,,0,,0,
1122,,Westlake Station - Bay B,,47.6112862,-122.337067,1,,0,,0,
11230,,10TH AVE E & E PROSPECT ST,,47.6288643,-122.320114,21,,0,,0,
11250,,10TH AVE E & E GALER ST,,47.6322174,-122.320114,21,,0,,0,
