route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1117,20110916,1117809161111,To Port Townsend,,,1117
1117,20110916,1117809161112,To Port Townsend,,,1117
1117,20110916,1117809161113,To Port Townsend,,,1117
1117,20110916,1117809161114,To Port Townsend,,,1117
1117,20110916,111780916112,To Port Townsend,,,1117
1117,20110916,111780916113,To Port Townsend,,,1117
1117,20110916,111780916114,To Port Townsend,,,1117
1117,20110916,111780916115,To Port Townsend,,,1117
1117,20110916,111780916116,To Port Townsend,,,1117
1117,20110916,111780916117,To Port Townsend,,,1117
1117,20110916,111780916118,To Port Townsend,,,1117
1117,20110916,111780916119,To Port Townsend,,,1117
113,20110916,11390916110,To Lopez Island,,,113
113,20110916,11390916111,To Lopez Island,,,113
113,20110916,11390916112,To Lopez Island,,,113
113,20110916,11390916113,To Lopez Island,,,113
113,20110916,11390916114,To Lopez Island,,,113
113,20110916,11390916115,To Lopez Island,,,113
113,20110916,11390916116,To Lopez Island,,,113
115,20110916,11590916110,To Orcas Island,,,115
115,20110916,11590916111,To Orcas Island,,,115
115,20110916,11590916112,To Orcas Island,,,115
115,20110916,11590916113,To Orcas Island,,,115
115,20110916,11590916114,To Orcas Island,,,115
115,20110916,11590916115,To Orcas Island,,,115
115,20110916,11590916116,To Orcas Island,,,115
115,20110916,11590916117,To Orcas Island,,,115
118,20110916,11890916110,To Shaw Island,,,118
118,20110916,11890916111,To Shaw Island,,,118
118,20110916,11890916112,To Shaw Island,,,118
118,20110916,11890916113,To Shaw Island,,,118
118,20110916,11890916114,To Shaw Island,,,118
118,20110916,11890916115,To Shaw Island,,,118
119,20110916,119100916110,To Sidney B.C.,,,119
119,20110916,119100916111,To Sidney B.C.,,,119
128,20110916,12860916110,To Edmonds,,,128
128,20110916,12860916111,To Edmonds,,,128
128,20110916,128609161110,To Edmonds,,,128
128,20110916,128609161111,To Edmonds,,,128
128,20110916,128609161112,To Edmonds,,,128
128,20110916,128609161113,To Edmonds,,,128
128,20110916,128609161114,To Edmonds,,,128
128,20110916,128609161115,To Edmonds,,,128
128,20110916,128609161116,To Edmonds,,,128
128,20110916,128609161117,To Edmonds,,,128
128,20110916,128609161118,To Edmonds,,,128
128,20110916,128609161119,To Edmonds,,,128
128,20110916,12860916112,To Edmonds,,,128
128,20110916,128609161120,To Edmonds,,,128
128,20110916,128609161121,To Edmonds,,,128
128,20110916,128609161122,To Edmonds,,,128
128,20110916,128609161123,To Edmonds,,,128
128,20110916,128609161124,To Edmonds,,,128
128,20110916,128609161125,To Edmonds,,,128
