route_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_id
SNDR_S_NB,WD,,King Street Station,,1,,SNDR_S_NB_shp,0,0,1500
SNDR_S_SB,WD,,Tacoma Dome,,0,,SNDR_S_SB_shp,0,0,1501
SNDR_S_NB,WD,,King Street Station,,1,,SNDR_S_NB_shp,0,0,1502
SNDR_S_SB,WD,,Tacoma Dome,,0,,SNDR_S_SB_shp,0,0,1503
SNDR_S_NB,WD,,King Street Station,,1,,SNDR_S_NB_shp,0,0,1504
SNDR_S_SB,WD,,Tacoma Dome,,0,,SNDR_S_SB_shp,0,0,1505
SNDR_S_NB,WD,,King Street Station,,1,,SNDR_S_NB_shp,0,0,1506
SNDR_S_SB,WD,,Tacoma Dome,,0,,SNDR_S_SB_shp,0,0,1507
SNDR_S_NB,WD,,King Street Station,,1,,SNDR_S_NB_shp,0,0,1508
SNDR_S_SB,WD,,Tacoma Dome,,0,,SNDR_S_SB_shp,0,0,1509
SNDR_S_NB,WD,,King Street Station,,1,,SNDR_S_NB_shp,0,0,1510
SNDR_S_SB,WD,,Tacoma Dome,,0,,SNDR_S_SB_shp,0,0,1511
SNDR_S_NB,WD,,King Street Station,,1,,SNDR_S_NB_shp,0,0,1512
SNDR_S_SB,WD,,Tacoma Dome,,0,,SNDR_S_SB_shp,0,0,1513
SNDR_S_NB,WD,,King Street Station,,1,,SNDR_S_NB_shp,0,0,1514
SNDR_S_SB,WD,,Tacoma Dome,,0,,SNDR_S_SB_shp,0,0,1515
SNDR_S_NB,WD,,King Street Station,,1,,SNDR_S_NB_shp,0,0,1516
SNDR_S_SB,WD,,Tacoma Dome,,0,,SNDR_S_SB_shp,0,0,1517
SNDR_N_NB,WD,,Everett Station,,0,,SNDR_N_NB_shp,0,0,1700
SNDR_N_SB,WD,,King Street Station,,1,,SNDR_N_SB_shp,0,0,1701
SNDR_N_NB,WD,,Everett Station,,0,,SNDR_N_NB_shp,0,0,1702
SNDR_N_SB,WD,,King Street Station,,1,,SNDR_N_SB_shp,0,0,1703
SNDR_N_NB,WD,,Everett Station,,0,,SNDR_N_NB_shp,0,0,1704
SNDR_N_SB,WD,,King Street Station,,1,,SNDR_N_SB_shp,0,0,1705
SNDR_N_NB,WD,,Everett Station,,0,,SNDR_N_NB_shp,0,0,1706
SNDR_N_SB,WD,,King Street Station,,1,,SNDR_N_SB_shp,0,0,1707
AMTK_NB,WD,,Everett Station,,0,,SNDR_N_NB_shp,0,0,510
AMTK_SB,WD,,King Street Station,,1,,SNDR_N_SB_shp,0,0,513
AMTK_NB,WD,,Everett Station,,0,,SNDR_N_NB_shp,0,0,516
AMTK_SB,WD,,King Street Station,,1,,SNDR_N_SB_shp,0,0,517
51210,SU,,Everett,,1,,512_N_shp,0,0,C15001
51210,SU,,Everett,,1,,512_N_shp,0,0,C15002
51210,SU,,Everett,,1,,512_N_shp,0,0,C15003
51210,SU,,Everett,,1,,512_N_shp,0,0,C15004
51210,SU,,Everett,,1,,512_N_shp,0,0,C15005
51210,SU,,Everett,,1,,512_N_shp,0,0,C15006
51210,SU,,Everett,,1,,512_N_shp,0,0,C15007
51210,SU,,Everett,,1,,512_N_shp,0,0,C15008
