trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,route_short_name,pickup_type,drop_off_type,shape_dist_traveled
1509,7,S_TD_SB,17:19:00,17:19:00,Tacoma Dome Station,,0,0,
1510,1,S_TD_NB,07:20:00,07:20:00,King Street Station,,0,0,
1510,2,S_PU_NB,07:32:00,07:32:00,King Street Station,,0,0,
1510,3,S_SU_NB,07:37:00,07:37:00,King Street Station,,0,0,
1510,4,S_AU_NB,07:45:00,07:45:00,King Street Station,,0,0,
1510,5,S_KE_NB,07:52:00,07:52:00,King Street Station,,0,0,
1510,6,S_TK_NB,07:59:00,07:59:00,King Street Station,,0,0,
1510,7,S_KS_NB,08:19:00,08:19:00,King Street Station,,0,0,
1511,1,S_KS_SB,16:45:00,16:45:00,Tacoma Dome Station,,0,0,
1511,2,S_TK_SB,16:57:00,16:57:00,Tacoma Dome Station,,0,0,
1511,3,S_KE_SB,17:04:00,17:04:00,Tacoma Dome Station,,0,0,
1511,4,S_AU_SB,17:11:00,17:11:00,Tacoma Dome Station,,0,0,
1511,5,S_SU_SB,17:21:00,17:21:00,Tacoma Dome Station,,0,0,
1511,6,S_PU_SB,17:25:00,17:25:00,Tacoma Dome Station,,0,0,
1511,7,S_TD_SB,17:44:00,17:44:00,Tacoma Dome Station,,0,0,
1512,1,S_TD_NB,08:00:00,08:00:00,King Street Station,,0,0,
1512,2,S_PU_NB,08:12:00,08:12:00,King Street Station,,0,0,
1512,3,S_SU_NB,08:17:00,08:17:00,King Street Station,,0,0,
1512,4,S_AU_NB,08:25:00,08:25:00,King Street Station,,0,0,
1512,5,S_KE_NB,08:32:00,08:32:00,King Street Station,,0,0,
1512,6,S_TK_NB,08:39:00,08:39:00,King Street Station,,0,0,
1512,7,S_KS_NB,08:59:00,08:59:00,King Street Station,,0,0,
1513,1,S_KS_SB,17:12:00,17:12:00,Tacoma Dome Station,,0,0,
1513,2,S_TK_SB,17:24:00,17:24:00,Tacoma Dome Station,,0,0,
1513,3,S_KE_SB,17:31:00,17:31:00,Tacoma Dome Station,,0,0,
1513,4,S_AU_SB,17:38:00,17:38:00,Tacoma Dome Station,,0,0,
1513,5,S_SU_SB,17:48:00,17:48:00,Tacoma Dome Station,,0,0,
1513,6,S_PU_SB,17:52:00,17:52:00,Tacoma Dome Station,,0,0,
1513,7,S_TD_SB,18:11:00,18:11:00,Tacoma Dome Station,,0,0,
1514,1,S_TD_NB,16:25:00,16:25:00,King Street Station,,0,0,
1514,2,S_PU_NB,16:37:00,16:37:00,King Street Station,,0,0,
1514,3,S_SU_NB,16:42:00,16:42:00,King Street Station,,0,0,
1514,4,S_AU_NB,16:50:00,16:50:00,King Street Station,,0,0,
1514,5,S_KE_NB,16:57:00,16:57:00,King Street Station,,0,0,
